Filename,Document Name,Most Favored Nation,Most Favored Nation-Answer,Competitive Restriction Exception,Competitive Restriction Exception-Answer,Non-Compete,Non-Compete-Answer,Exclusivity,Exclusivity-Answer,No-Solicit Of Customers,No-Solicit Of Customers-Answer,No-Solicit Of Employees,No-Solicit Of Employees-Answer,Non-Disparagement,Non-Disparagement-Answer,Rofr/Rofo/Rofn,Rofr/Rofo/Rofn-Answer
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.pdf,"['Software License, Customization and Maintenance Agreement', 'Product License Schedule']",[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.pdf,"['Software License, Customization and Maintenance Agreement']",[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.pdf,['AGENCY AGREEMENT'],[],No,[],No,[],No,"['Based on the foregoing, and subject to the terms and conditions contained in this Agreement, the Agents severally and not jointly agree to act as, and the Corporation appoints the Agents as, the exclusive agents of the Corporation to offer the Offered Shares for sale on the Closing Date (as defined herein) in the Selling Jurisdictions (as defined herein) on a private placement basis at the Offering Price.']",Yes,[],No,[],No,[],No,[],No
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2.pdf,"[""AGENTS' CERTIFICATE""]",[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.PDF,['Supply Agreement'],[],No,[],No,[],No,"[""MediWound's rights as per Section 3.1 will be exclusive in the sense that CBC shall not nor shall permit any Affiliate or third party to manufacture, use, supply<omitted>or sell Bromelain SP for utilization as an ingredient of any product which directly or indirectly competes with the Product."", 'MediWound shall have an exclusive license under patents and other intellectual property, to develop, use, manufacture, market and sell the Product for burn treatment in humans;']",Yes,[],No,[],No,[],No,[],No
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT.PDF,['SUPPLY AGREEMENT'],[],No,[],No,[],No,"['Subject to the terms and conditions of this Agreement, PcoMed hereby grants to Integra and its Affiliates a sole and exclusive worldwide right to sell and commercialize Integra Products treated by PcoMed, with the PcoMed Surface Modification Technology (the ""Right"") for use in the Field in the Territory, including the right to conduct research and development in support of any of the foregoing.']",Yes,[],No,[],No,[],No,[],No
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.PDF,['SUPPLY AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.PDF",['SUPPLY AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF",['Supply Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.PDF,['SUPPLY AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.PDF,['TRANSPORTATION CONTRACT  GENERAL CONDITIONS'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.PDF,['TRANSPORTATION SERVICE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF,['MARKETING AND TRANSPORTATION SERVICES AGREEMENT'],[],No,"[""It is understood        and agreed that Dynamex, from time to time and upon request, may provide        pick-up and/or delivery services for other next-day or multiple day        courier service providers, as part of their next-day and multiple day        service commitment, provided Dynamex' services will not result in the        provision of same day service to the customer of the provider of        next-day or multiple day courier service."", 'Dynamex may continue to provide the same day service it currently        provides to Alltours customers, provided revenue to Dynamex from this        business does not exceed Five Thousand Dollars ($5,000.00) per month        provided there is no change in control, direct or indirect, in Alltours.']",Yes,"['In the event this Agreement is terminated pursuant to the provisions of         paragraph 19.2, then the Party whose control has changed shall not         enter into an agreement with any other Party to provide services similar         to those provided herein or to provide its services similar to those         provided for herein without an agreement, for a period of twelve (12)         months from the effective date of termination.', 'In the event this Agreement is terminated pursuant to the provisions of         paragraph 17, then the Party in default shall not enter into an         agreement with any other Party to provide services similar to those         provided herein or to provide its services similar to those provided for         herein without an agreement, for a period of six (6) months from the         effective date of termination.']",Yes,['Dynamex agrees not to provide sameday delivery services for any other        provider of next day or multiple day courier services.'],Yes,"['Except for the joint marketing efforts referred to in Section 3.1 (v)        above, Dynamex agrees not to directly or indirectly solicit overnight        freight from customers of Purolator.', 'Except for the joint marketing efforts referred to in Section 3.1 (v)         above, Purolator agrees not to directly or indirectly solicit next day         or multiple day freight from existing sameday customers of Dynamex.']",Yes,[],No,[],No,[],No
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.PDF,['TRANSPORTATION SERVICES AGREEMENT'],"[""Upon termination of this Agreement for reasons other than a default by Shipper, pursuant to any provisions of this Agreement or any other termination of this Agreement initiated by Shipper pursuant to Section 5, Shipper shall have the right to require MPL to enter into a new transportation service agreement with Shipper that (a) is consistent with the terms and objectives set forth in this Agreement and (b) has commercial terms that are, in the aggregate, equal to or more favorable to Shipper than fair market value terms as would be agreed by similarly-situated parties negotiating at arm's length provided.""]",Yes,[],No,[],No,[],No,[],No,[],No,[],No,"['To the extent permitted by Governmental Authorities, MPL will provide to each Shipper a first right, on terms and conditions specified by MPL that is consistent with this first right, to submit a binding nomination to ship, or otherwise pay for, a committed volume of Product on the expansion capacity (""Requested Expansion Volume Commitment"").', 'In the event that, pursuant to this first right, MPL receives binding commitments for volumes that exceed the expansion capacity available for committed volumes, each Shipper that submitted a binding commitment pursuant to this first right procedure shall be allocated the lesser of: (i) its Requested Expansion Volume Commitment, or (ii) the Shipper\'s pro-rata share of the expansion capacity available for committed volumes, which shall be calculated by multiplying (1) the Shipper\'s Proportionate Share, times (2) the expansion capacity available for committed volumes (""Expansion Volume Commitment"").', 'No later than sixty (60) days following the date of MPL\'s Expansion Notice, Shipper must commit to, in a form acceptable to MPL in MPL\'s sole discretion, its Requested Expansion Volume Commitment (""Election Deadline"").']",Yes
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.PDF,['TRANSPORTATION CONTRACT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT.PDF,['GAS TRANSPORTATION AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.PDF,['Collaboration Agreement'],[],No,[],No,"['During the Term, Green Cross shall not (either by itself, or with or through a Related Party or Third Party) Develop or Commercialize any (i) Product outside of the scope of this Agreement or (ii) Competing Product.', 'Green Cross shall pay to MacroGenics a royalty of *** on Net Sales of Competing Products for the Royalty Term.']",Yes,"['The license granted pursuant to this Section 10.3 shall be non\xadexclusive in the Territory and exclusive in the rest of the world outside the Territory.', 'Subject to the terms and conditions of this Agreement, MacroGenics hereby grants to Green Cross an exclusive, royalty- bearing (i) license, with the right to grant sublicenses (subject to Section 10.1(b)), under the MacroGenics Licensed Technology and the MacroGenics Licensed Trademarks; and (ii) to the extent needed under this Section 10.1(a), sublicense under the MacroGenics Licensed Technology licensed pursuant to the Upstream Agreements, in the case of each of (i) and (ii), to conduct the Phase I Clinical Development Plan and Phase II Clinical Development Plan, and to distribute, sell, offer for sale and import Products in the Field in the Territory during the Term.']",Yes,[],No,[],No,[],No,[],No
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.PDF,['Cooperation Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.PDF,['Cooperation Agreement'],[],No,[],No,"['Party B shall not advertise, or make any statement favorable for, any competitor having the same or similar business scope as Party A in the services it provides.']",Yes,[],No,[],No,[],No,[],No,[],No
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.PDF,['Cooperation Agreement (2014 Amendment)'],[],No,[],No,"[""Party A irrevocably undertakes that, without Party B's consent, Party A shall not conduct any other business or make any commercial arrangement, including without limitation being engaged in or otherwise participating in any commercial activities and businesses independently or together with any other person or entity, nor shall it carry out any activities that may be competitive with or cause adverse effect to Party B's business.""]",Yes,"[""Party A irrevocably undertakes that, without Party B's consent, Party A shall not conduct any other business or make any commercial arrangement, including without limitation being engaged in or otherwise participating in any commercial activities and businesses independently or together with any other person or entity, nor shall it carry out any activities that may be competitive with or cause adverse effect to Party B's business."", 'Party A irrevocably undertakes that it will make best efforts to assist and endeavor to achieve the exclusive operation of thecooperative business to the extent permitted by laws.', 'Party A shall not establish any same or similar cooperative relationship with any third party in respect of such businesses nor shall it make any same or similar arrangement, unless with the prior written consent of Party B.', 'Party A irrevocably undertakes that Party A will take Party B as its exclusive and sole partner to provide the business consultancy and technical services as well as technical consultancy to Party A and its subsidiaries']",Yes,[],No,[],No,[],No,[],No
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.PDF,['Collaboration Agreement'],"['Party B guarantees that the Driver User will enjoy the most favorable treatment in accordance with the terms and conditions stipulated in This Agreement during the Period of Cooperation.', 'Party B shall provide the Driver User with long-term and stable rental sources and the most favorable financial leasing scheme, complete the vehicle leasing transactions with the Driver User through the Platform, and provide the Driver User with high-quality financial leasing services.', 'In case that the price and other substantive terms offered by Party B to such entity are more favorable than those enjoyed by the Driver User in any commercial cooperative relationship signed or formed between Party B and any entity, the Driver User and Party B shall amend the provisions in the Financial Leasing Agreement signed by both parties to enable the Driver User to enjoy the same or more favorable provisions as those enjoyed by such other entities, such modifications shall include but not limit to the modifications of the monthly rent terms.']",Yes,[],No,"[""The following acts constitute Class D breaches.<omitted>10.4.11 In consideration of the fact that Party B may have access to the relevant trade secrets of Didi during the cooperation, Party B or Party B's any affiliate cooperates with any entity competitive with Didi (including but not limited to Meituan, CAR, Yongche, izu, Caocao, Dida) in any form without prior written notice to and confirmation by Didi; 10.4.12 Party B introduces the entities competitive with Didi (including but not limited to Meituan, CAR, Yongche, izu, Caocao, Dida) to Driver Users, and induces Driver Users to conduct activities directly competing or conflicting with Didi;""]",Yes,[],No,[],No,[],No,[],No,[],No
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.PDF",['COLLABORATION AGREEMENT'],"['With respect to any [***],<omitted>(ii) the per unit pricing charged by BLI to Ginkgo at any time shall be no greater than the lowest of the (A) lowest price per unit charged by BLI or its Affiliates to any similarly situated Third Party customer (i.e. taking into account [***]) for such unit at any time in the [***] ([***]) months prior to the delivery of the applicable Purchase Order by Ginkgo or (B) the then- current List Price; provided, however, that in no event shall BLI be required to charge a price less than the cost of goods sold for such unit, as determined in accordance with United States generally accepted accounting principles, consistently applied.']",Yes,"[""During the Term and for a period of [***] ([***]) months following the Term of this Agreement, other than pursuant to Sections 13.3.2 (Effects of Termination Based Upon Ginkgo's Buy-Down Election) or 13.3.3 (Effects of Termination Based Upon an Uncured Ginkgo Breach, Insolvency or Force Majeure Event), BLI shall not, and shall cause its Affiliates not to, directly or indirectly, itself or with or through a Third Party, develop, configure, customize, license, sell, provide or otherwise give access to the Beacon Platform or any [***] to, [***] or its Affiliates for any use; provided that this restriction shall terminate as set forth in Section 13.3 (Effects of Expiration or Termination) or if Ginkgo has not satisfied its Minimum Cumulative Purchase Commitments (as such may be adjusted under this Agreement) for a full Contract Year, including [***] as permitted under Section 7.2.2(a) (Minimum Cumulative Purchase Commitments) or Section 7.2.2(b)(iii) (Development Purchase Commitments); provided that BLI will provide written notice to Ginkgo within [***] ([***]) days of the end of any Contract Year with respect to which BLI believes that Ginkgo has not satisfied its Minimum Cumulative Purchase Commitment."", 'Except as provided in this Section 6.2.1 (Restrictions on BLI) and the scope of rights granted to<omitted>Ginkgo under this Agreement (including under Section 6.1 (Headstart Period) and Section 9.1 (Licenses to Ginkgo)), nothing in this Agreement shall otherwise limit, prohibit or preclude BLI from developing, configuring, customizing, licensing, selling or providing the Beacon Platform or Collaboration Workflows for itself or to a Third Party for any uses or otherwise entering into a business or advisory arrangement with any Third Party.']",Yes,"[""During the Term and for a period of [***] ([***]) months following the Term of this Agreement, other than pursuant to Sections 13.3.2 (Effects of Termination Based Upon Ginkgo's Buy-Down Election) or 13.3.3 (Effects of Termination Based Upon an Uncured Ginkgo Breach, Insolvency or Force Majeure Event), BLI shall not, and shall cause its Affiliates not to, directly or indirectly, itself or with or through a Third Party, develop, configure, customize, license, sell, provide or otherwise give access to the Beacon Platform or any [***] to, [***] or its Affiliates for any use; provided that this restriction shall terminate as set forth in Section 13.3 (Effects of Expiration or Termination) or if Ginkgo has not satisfied its Minimum Cumulative Purchase Commitments (as such may be adjusted under this Agreement) for a full Contract Year, including [***] as permitted under Section 7.2.2(a) (Minimum Cumulative Purchase Commitments) or Section 7.2.2(b)(iii) (Development Purchase Commitments); provided that BLI will provide written notice to Ginkgo within [***] ([***]) days of the end of any Contract Year with respect to which BLI believes that Ginkgo has not satisfied its Minimum Cumulative Purchase Commitment.""]",Yes,[],No,[],No,"['In the event that a Party solicits and then hires an employee of the other Party in violation of this Section 14.4 (Non-Solicit), the hiring Party shall, [***], within [***] ([***]) days of such hire, pay the other Party an amount equal to the [***] cash compensation actually paid to the individual<omitted>([***]) by the non-hiring Party in the immediately prior calendar year and, further, if the individual solicited and then hired in violation of this is a Key Person under Section 5.4.1(b) (Dedicated FTEs; Key Persons), then BLI shall have [***] ([***]) months to identify an employee as the individual to replace such Key Person and any (a) [***] or (b) [***], in each case (a)-(b), to the extent due to the absence of such Key Person performing a Workflow Development Plan upon which the Key Person was engaged, shall be deemed waived for that [***] month period.', 'Neither Party will, [***], directly or indirectly with or through any Person, solicit for employment any Person who is an employee of the other Party; provided, however, that general solicitation of the public for employment shall not constitute a solicitation hereunder so long as such general solicitation is not designed to target any such Person.']",Yes,[],No,[],No
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.PDF,['Intellectual Property Agreement'],[],No,[],No,[],No,"['If THI does not make the obligatory payments as stated in 2(b) by the dates stated, the Exclusive License will revert back to Premier.', 'The licenses granted herein are exclusive worldwide licenses to:   1.         make, have made, use, lease, sell and import Licensed Products for the legal purposes of researching, developing, manufacturing, assembling, distributing, and selling the Licensed Products;   2.         make, have made, use and import machines, tools, materials and other instrumentalities, insofar as such machines, tools, materials and other instrumentalities are involved in or incidental to the research, development, manufacture, testing or repair of Licensed Products which are or have been made, used, leased, owned, sold or imported by the Licensee; and   3.         convey to any customer of the Licensee, with respect to any Licensed Product which is sold or leased to such customer, rights to use and resell such Licensed Product as sold or leased by Licensee (whether or not as part of a larger combination); provided, however, that no rights may be conveyed to customers with respect to any Invention which is directed to (i) a combination of such Licensed Product (as sold or leased) with any other product, (ii) a method or process which is other than the inherent use of such Licensed Product itself (as sold or leased), or (iii) a method or process involving the use of a Licensed Product to manufacture (including associated testing) any other product.', 'If THI does not make the obligatory payments as stated in 3(a) by the dates stated, the Exclusive License will revert back to Premier, provided, however, that in such event, THI would still be entitled to a proportionate interest in any Covid-19 Licensed Products, such portion being equal to a fraction, the numerator of which shall be the actual amount paid and the denominator of which shall be $2,000,000.']",Yes,[],No,[],No,[],No,[],No
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.PDF",['Promotion Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..PDF",['PROMOTION AGREEMENT'],"[""The Company acknowledges that Nantz Communications' and      Nantz's obligations to CBS or any other television station or network with      which Nantz Communications or Nantz has a contract or arrangement shall      take precedence over any other commitments of Nantz Communications or Nantz      under this Agreement.""]",Yes,['Notwithstanding the foregoing Nantz shall be permitted to wear a Lynx hat or clothing logo when performing promotional services for Lynx and to use Lynx equipment when performing any promotional services for the Company in which equipment will be used.'],Yes,[],No,"[""Except as otherwise provided herein, and subject to the      Restrictions, Nantz Communications agrees that such Products may      prominently bear the Company's logo and shall not bear any other logos."", ""During the Term, neither Nantz Communications nor Nantz shall enter into\n\n\n\n\n\nany activity, employment, independent contract, or other business arrangement which conflicts with Nantz Communications' or Nantz's obligations under this Agreement or perform any service which reasonably appears to be an endorsement of the sportswear apparel, hats and shoes of a third party without the Company's prior written approval."", 'Nantz Communications and Nantz expressly agree that the Endorsement will not be granted to anyone other than the Company for use during the Term in connection with the advertisement and promotion of sportswear apparel, hats and shoes.']",Yes,[],No,[],No,[],No,[],No
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT.PDF,['PROMOTION AGREEMENT'],[],No,[],No,[],No,"['In consideration of the fees paid by Sponsor as set out herein, Charity Tunes agrees that during the period beginning October  1, 2009 and ending March 31, 2010, Charity Tunes shall not enable another program sponsorship for all competitive  products/product categories distributed/sold within the total Canadian consumer/retail/wholesale market place, inclusive of:     - Total Frozen Handhelds     - Total Corporation General Mills Handhelds     - Total Pizza Pops Handhelds / total Pillsbury Mini Pizzas     - Total Corporation McCain Foods Handhelds     - Total Pizza Pockets / total McCain Mini Pizzas     - Total Corporation Heinz Handhelds     - Total Heinz Hot bites (Bagel Bites and Taco Bites) / total Anchor Poppers     - Total Corporation Schneider Foods Handhelds     - Total Hot Stuffs / total Lean Stuffs     - Total Resers Burritos     - Total Corp les Plats du Chef Handhelds     - Total Hinsdale Farms Corndogs']",Yes,[],No,[],No,[],No,[],No
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.PDF",['Promotion and Distribution Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.PDF,['Promotion Agreement'],[],No,[],No,[],No,"['PageMaster Corporation shall not engage in the same or similar                promotion with any other On-Line Casinos from June 1, 1999                through June 1, 2000.', 'Go Call shall not engage in the same or similar promotions during                the Term of this Agreement with any other entity providing paging                services, equipment or other related products and services.']",Yes,[],No,[],No,[],No,[],No
QBIOMEDINC_04_08_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,['JOINT VENTURE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.PDF,['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.PDF",['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
PLAYAHOTELS_RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun).PDF,['STRATEGIC ALLIANCE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,"[""If the Receiving Party declines its right of first offer with respect to any Development Opportunity, or fails to notify the Offering Party of its decision within the ten (10) business-day period described above, or if Hyatt's affiliate or Playa's affiliate (as applicable) fails to acquire the Development Property within the sixty (60)-day period described above, then the right of first offer with respect to that Development Opportunity shall expire, and the Offering Party thereafter may acquire, develop and/or operate (and/or grant any other person or entity the right to acquire, develop and/or operate) an all-inclusive resort or other business on the Development Property without any restriction under this Agreement, subject to any restrictions under any Existing Franchise Agreement or other agreement between Hyatt (or its affiliate) and Playa (or its affiliate)."", 'The Receiving Party will have ten (10) business days after receiving the Offer Notice to notify the Offering Party whether the Receiving Party exercises its right of first offer for that Development Opportunity.', 'If the Offering Party is required to offer the Receiving Party a Development Opportunity pursuant to this Section 1, the Offering Party must deliver written notice to the Receiving Party, together with reasonable due diligence information in the Offering Party\'s possession to enable the Receiving Party to evaluate the Development Opportunity (collectively, the ""Offer Notice"").', 'During the period beginning on the Effective Date and ending on December 31, 2018 (the ""Development Term""), each Party (the ""Offering Party"") agrees to provide to the other Party (the ""Receiving Party"") a right of first offer with respect to any proposed offer or arrangement, which the Offering Party (or its affiliate) desires to accept, under which the Offering Party or one of its affiliates would acquire the ownership of real property in the Market Area (the ""Development Property"") on which a Hyatt All-Inclusive Resort would operate (a ""Development Opportunity"").', 'If a third party (who is not an affiliate of Hyatt) approaches Hyatt during the Development Term with a proposed offer or arrangement, which Hyatt desires to accept, under which the third party would operate a Hyatt All-Inclusive Resort in the Market Area, and if that third party has not then already designated a management company to operate that Hyatt All-Inclusive Resort, then Hyatt agrees to provide notice to Playa and introduce Playa to that third party for purposes of enabling Playa (at its option) to negotiate for the opportunity to manage that Hyatt All-Inclusive Resort for that third party.', ""If the Receiving Party and exercises its right of first offer hereunder, and:\n\n(a) if the Receiving Party is Playa, then Playa (or its affiliate) and Hyatt's affiliate shall negotiate in good faith the terms of a management agreement and related documents under which Playa (or its affiliate) would manage a Hyatt All-Inclusive Resort on the Development Property (subject to a franchise agreement between Hyatt and the affiliate of Hyatt that would own the Development Property), provided that Hyatt's affiliate acquires the Development Property on terms acceptable to it within sixty (60) days after delivery of the Offer Notice, and\n\n(b) if the Receiving Party is Hyatt, then Playa or its affiliate shall negotiate in good faith the terms of a franchise agreement and related documents for the operation (and, if applicable, development) of the Hyatt All-Inclusive Resort on the Development Property, provided that Playa's affiliate acquires the Development Property on terms acceptable to it within sixty (60) days after delivery of the Offer Notice."", 'Similarly, if a third party (who is not an affiliate of Playa) approaches Playa during the Development Term with a proposed offer or arrangement, which Playa desires to accept, under which Playa or its affiliate would manage an all- inclusive resort in the Market Area for that third party, and if that third party has not then already designated a brand under which that all-inclusive resort would operate, then Playa agrees to provide notice to Hyatt and introduce Hyatt to that third party for purposes of enabling Hyatt (at its option) to negotiate for the opportunity to provide that third party franchise rights to brand that resort as a Hyatt All-Inclusive Resort.']",Yes
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.PDF,['Cooperation Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,"['Each member of the ValueAct Group agrees that, during the Covered Period, (unless specifically requested in writing by the Company, acting through a resolution of a majority of the Company\'s directors not including the ValueAct Designee), it shall not, and shall cause each of its Affiliates or Associates (as such terms are defined in Rule 12b-2 promulgated by the SEC under the Exchange Act) (collectively and individually, the ""ValueAct Affiliates,"" provided that no portfolio company of the ValueAct Group shall be deemed a ""ValueAct Affiliate"" so long as such portfolio company (A) has not discussed any of the actions set forth in this subsection (a) with the ValueAct Group or the ValueAct Designee, (B) has not received from the ValueAct Group or the ValueAct Designee information concerning the Company or its business, and (C) is not acting at the request of, in coordination with or on behalf of the ValueAct Group or the ValueAct Designee), not to, directly or indirectly, in any manner, alone or in concert with others:<omitted>(ix) disparage or cause to be disparaged the Company or Affiliates thereof, any of its current or former officers, or directors;']",Yes,[],No
