Filename,Document Name,Termination For Convenience,Termination For Convenience-Answer,Change Of Control,Change Of Control-Answer,Anti-Assignment,Anti-Assignment-Answer,Post-Termination Services,Post-Termination Services-Answer
"ONEMAINHOLDINGS,INC_02_20_2020-EX-99.D-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No
"MACY_S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.PDF,['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.PDF,['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT.PDF",['JOINT FILING STATEMENT'],[],No,[],No,[],No,[],No
"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No
"SPRINGBANKPHARMACEUTICALS,INC_04_08_2020-EX-99.A-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.PDF,['Promotion Agreement'],"[""provided that (a) either party may terminate this Agreement,      effective at any time after the first three\n\n       months of the Term, by giving 30 days' written notice of termination to the      other party,""]",Yes,[],No,"['This Agreement may not be assigned by either party, except           (a) to the transferee of substantially all of the business operations           of such party (whether by asset sale, stock sale, merger or otherwise)           or (b) to any entity that controls, is controlled by or is under           common control with such party.']",Yes,[],No
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.PDF,['PROMOTION AGREEMENT'],[],No,[],No,"['This Agreement and the rights granted herein shall not be assignable by either party hereto without the prior written consent of the other party.', 'Except pursuant to Section 16.9 or in connection with the use of Third Party Sales Representatives, King shall not assign, subcontract or otherwise transfer or delegate any of its rights or obligations under this Agreement without the express written consent of Depomed, which consent may be withheld by Depomed in its sole discretion.', 'Any attempted assignment without consent shall be void.']",Yes,"['Following the termination of this Agreement at the conclusion of the initial five year term or any additional term, for each of the eight full calendar quarters following such termination, Depomed shall pay to King an amount equal to, in each of the first four such calendar quarters, [***]% of the Net Sales for each such quarter and, in each of the fifth through eighth such calendar quarters, [***]% of such Net Sales for each such quarter.', 'During the Term and for a period of two (2) years after any expiration or termination of this Agreement, each party shall maintain (i) a commercial general liability insurance policy or policies with minimum limits of $[***] per occurrence and $[***] in the aggregate on an annual basis and (ii) a product liability insurance policy or policies with minimum limits of $[***] per occurrence and $[***] in the aggregate on an annual basis; provided that the minimum product liability policy limits set forth above shall be increased to at least $[***] per occurrence and $[***] in the aggregate on an annual basis no later than December 31, 2006.', 'This right to audit shall extend throughout the term of this Agreement and for one year after expiration or termination of this Agreement.']",Yes
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.PDF",['INTELLECTUAL PROPERTY AGREEMENT'],[],No,[],No,[],No,"[""Turpin shall  deliver to the Company all Work      Product and Company  Property,  including all originals and copies thereof,      in Turpin's possession and/or control,  at the request of the Company,  or,      in the  absence  of  such a  request,  upon  the  termination  of  Turpin's      employment with the Company.""]",Yes
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT.PDF,['INTELLECTUAL PROPERTY AGREEMENT'],"['This Agreement may be terminated at any time prior to the Effective Time by Parent, in its sole and absolute discretion, without the approval or consent of<omitted>any other Person, including SpinCo.']",Yes,"['If Parent enters an agreement to transfer the license granted to it under this Section 3.1 in connection with any sale or transfer of a Parent business, then SpinCo and members of the SpinCo Group shall be made third party beneficiaries under such transfer agreement to enforce breaches of the license', 'If SpinCo enters an agreement to transfer the license granted to it under this  Section 3.2  in connection with any sale or transfer of a SpinCo business, then Parent and members of the Parent Group shall be made third party beneficiaries under such transfer agreement to enforce breaches of the license.']",Yes,[],No,"['Subject to subsections (i)-(iii) of this Section 5.1(a), each Party agrees that prior to the date that is six (6) months after the Effective Time (""Delivery Date""), it will deliver possession of any Tangible/Intangible Information of the other Party that is in its possession or control to the other Party, without retaining any copies.']",Yes
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..PDF",['INTELLECTUAL PROPERTY AGREEMENT'],[],No,"['The foregoing right of first refusal shall cease in the event of a Change of Control of either RemainCo or SpinCo, provided, however, that the Parties will discuss the feasibility of future collaboration, specifically related to the contribution of nuclear related subject matter by RemainCo, in good faith in the event of a Change of Control.', 'Notwithstanding the foregoing provisions of this Section 3.2, in no event shall any of the members of the RemainCo Group continue to use the SpinCo House Marks (whether in any of the materials referenced in the immediately preceding sentence or otherwise) following a Change of Control of RemainCo.']",Yes,"['This Agreement may not be assigned by either Party, except with the prior written consent of the other Party.']",Yes,"['However, the Parties agree that the RemainCo Group may continue, beyond such 270-day period, to distribute copies of any existing inventory of its marketing literature, including technical papers, brochures, and printed promotional material, in existence on the Distribution Date, provided, however, that reasonable efforts are made to remove or cover up any SpinCo House Marks appearing thereon prior to distribution.']",Yes
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,"['AMENDMENT TO SECTION 2, PART B OF THE CO-BRANDING AGREEMENT']",[],No,[],No,[],No,[],No
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.pdf,['SECOND AMENDMENT TO CO-BRANDING AGREEMENT'],[],No,[],No,[],No,[],No
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,['CO-BRANDING AGREEMENT'],[],No,[],No,['This Agreement or any rights or obligations granted hereunder may not be assigned by ABW without the prior written consent of PCQ.'],Yes,[],No
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement2.pdf,['GUARANTEES OF MASTER FRANCHISE AGREEMENT'],[],No,[],No,[],No,[],No
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3.pdf,['Attachment C to Master Franchise Agreement   MULTI-STATE ADDENDUM   CALIFORNIA APPENDIX'],[],No,[],No,[],No,[],No
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.pdf,['MASTER FRANCHISE AGREEMENT'],[],No,"['Accordingly, neither you nor any immediate or remote successor to any part of your interest in this Agreement, nor any individual, partnership, corporation, or other legal entity which directly or indirectly owns any interest in you shall not sell, encumber, assign, transfer, convey, pledge, merge, or give away any direct or indirect interest in this Agreement, in you, or in all or substantially all of the assets of the Franchised Business.', 'Any change in the control of you shall be deemed a transfer for purposes of this Agreement.']",Yes,"['Any purported assignment or transfer shall be null and void and shall constitute a material breach of this Agreement, for which we may immediately terminate without opportunity to cure pursuant to Section 10.2.3 of this Agreement.', 'You may not grant any such right to a Unit Franchisee, and Unit Franchisees shall not have the right to sub-franchise or sell Unit Franchises.', 'The rights granted to you hereunder do not include the right to sub-franchise others to sell franchises.', 'You acknowledge and agree that the franchise granted to you hereunder is non-exclusive and is only for one (1) Master Territory; that you are not granted any area, market, or protected territorial rights other than as expressly provided in Section 1.1 of this Agreement; and that you shall not have the right to sublicense, sublease, subcontract or enter into any management agreement providing for the right to operate the Franchised Business or to use the System granted pursuant to this Agreement, except in the manner expressly provided for in Section 5.1 of this Agreement.', 'If any purported assignment or transfer of any direct or indirect interest in this Agreement, in you, or in all or substantially all of the assets of the Franchised Business is made to any third party without our prior written consent, contrary to the terms of Section 12 of this Agreement.', ""In the case of transfer by devise or inheritance, however, if the heirs or beneficiaries of any such person are unable to meet the conditions of this Section 12, the executor, administrator, or personal representative of the decedent shall transfer the decedent's interest to another party approved by us within twelve (12) months, which disposition shall be subject to all the terms and conditions for transfers contained in this Agreement."", 'Accordingly, neither you nor any immediate or remote successor to any part of your interest in this Agreement, nor any individual, partnership, corporation, or other legal entity which directly or indirectly owns any interest in you shall not sell, encumber, assign, transfer, convey, pledge, merge, or give away any direct or indirect interest in this Agreement, in you, or in all or substantially all of the assets of the Franchised Business. Any change in the control of you shall be deemed a transfer for purposes of this Agreement.', 'Upon the death or permanent disability (mental or physical) of any person with an interest in this Agreement, in you, or in all or substantially all of the assets of the Franchised Business, the executor, administrator, or personal representative of such person shall transfer such interest to a third party approved by us within twelve (12) months after such death or disability.']",Yes,['You shall take such action as may be necessary to cancel any assumed name registration or equivalent registration obtained by you which contains the Proprietary Marks; and you shall furnish us with evidence satisfactory to us of compliance with this obligation within thirty (30) days after termination or expiration of this Agreement.'],Yes
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4.pdf,['ADDENDUM REQUIRED BY THE DEPARTMENT OF LAW OF THE STATE OF NEW YORK'],[],No,[],No,[],No,[],No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.pdf,['SERVICES AGREEMENT'],[],No,[],No,"['Notwithstanding the foregoing, to the extent that the Services to be provided with respect to any Account which is registered as an investment company under the 1940 Act (herein referred to as a ""registered investment company"") are services referred to in the definition of ""investment advisor"" under Section 202(a)(11) of the Investment Company Act of 1940 (herein referred to as ""investment advisory services""), then with respect to such Account, this Agreement:\n\n(i) shall not commence until the effective date of its approval by the board of directors or trustees (""Board"") of such Account;\n\n(ii) shall continue from year to year thereafter, subject to the provisions for termination and all other terms and conditions hereof, only if such continuation shall be specifically approved at least annually by a majority of the Board, including a majority of the members of the Board who are not parties to this Agreement or interested persons of any such party (other than as members of the Board) cast in person at a meeting called for that purpose;\n\n(iii) may be terminated at any time without the payment of any penalty by the Board or by a vote of a majority of the outstanding voting securities (as defined in Section 2(a)(42) of the 1940 Act) of the Account on 60 days\' written notice to the Adviser;\n\n(iv) shall automatically terminate in the event of (A) its assignment (as defined in the 1940 Act) or (B) termination of the Advisory Agreement for any reason whatsoever.']",Yes,[],No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT.pdf,['SECOND AMENDMENT TO SERVICES AGREEMENT'],[],No,[],No,[],No,[],No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF.pdf,['LIMITED POWER OF ATTORNEY'],[],No,[],No,"['This Limited Power of Attorney shall bind and benefit the respective successors and assigns of the Adviser and FASC; provided, however, that FASC shall have no power or authority hereunder to appoint a successor or substitute attorney in fact for the Adviser or any Fund.']",Yes,[],No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT.pdf,['AMENDMENT TO SERVICES AGREEMENT'],[],No,[],No,[],No,[],No
WESTERN COPPER - NON-COMPETITION AGREEMENT.PDF,['NON COMPETITION AGREEMENT AND RIGHT OF FIRST OFFER'],[],No,[],No,[],No,[],No
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.PDF","['COLLABORATION AGREEMENT (""']",[],No,"['GSK may sublicense or subcontract its rights to Develop, Manufacture or Commercialize the Collaboration Products in whole or in part to one or more of its Affiliates, provided that the rights sublicensed or subcontracted to such Affiliate shall automatically terminate upon a change of control of such Affiliate in connection with which such Affiliate ceases to be an Affiliate of GSK.']",Yes,"['This Agreement may not be assigned by either Party without the prior written consent of the other Party; provided, however that either Party may assign this Agreement, in whole or in part, to any of its Affiliates if such Party guarantees the performance of this Agreement by such Affiliate; and provided further that either Party may assign this Agreement to a successor to all or substantially all of the assets of such Party whether by merger, sale of stock, sale of assets or other similar transaction']",Yes,"['GSK shall return to Theravance all available formulated and API stocks that contain a Theravance Compound and which are then held by GSK or cause such API stocks to be provided to Theravance if held by a vendor or other Third Party on behalf of GSK.', 'So long as this Agreement remains in effect and for a period of one (1) year thereafter, neither GSK nor any of its Affiliates may make any public disclosure of any holdings of or disposition of beneficial ownership of Theravance voting securities unless such disclosure is approved in advance in writing by Theravance, such approval not to be unreasonably withheld or delayed.', 'If after termination of this Agreement either Party subsequently Develops and Commercializes any Long- Acting Î²2 Adrenoceptor Agonist for the treatment / prophylaxis of respiratory diseases which (i) was never a Pooled Compound or Collaboration Product or (ii) was a GSK Discontinued Compound or a Theravance Discontinued Compound, it will pay to the other Party a royalty on Net Sales of any such products at the rate of 3% for a single-agent product and 2% for the first combination product for a period of 15 years from the date of launch on a Country-by-Country basis; provided, however, that this royalty shall not apply to any compound or product (including new product line extensions and/or re-formulation work) where the original compound or product is, as of the date of signature of this Agreement, already Commercialized.', ""GSK shall, at its sole expense, transfer to Theravance, or shall cause its designee(s) to transfer to Theravance, ownership of all regulatory filings made or filed for any Terminated Development Collaboration Product (to the extent that any are held in GSK's or such designee(s)'s name), but only where the Terminated Collaboration Product contains a Theravance Compound as a single agent and such transfer to be as permitted<omitted>by applicable Laws and regulations."", ""In the event that this Agreement is terminated by Theravance pursuant to Section 14.2 for material breach by GSK:   (i) GSK shall, at its sole expense, promptly transfer to Theravance copies of all data, reports, records and materials in its possession or control that relate to the Theravance Compounds and return to Theravance, or destroy at Theravance's request, all relevant records and materials in its possession or control containing Confidential Information of Theravance (provided that GSK may keep one copy of such Confidential Information of Theravance for archival purposes only in accordance with Section 10.1). (ii) GSK shall, at its sole expense, transfer to Theravance, or shall cause its designee(s) to transfer to Theravance, ownership of all regulatory filings made or filed for any Collaboration Product that contains a LABA as a single agent (to the extent that any are held in GSK's or such designee(s)'s name), and such transfer to be as permitted by applicable Laws and regulations; otherwise GSK shall cooperate as necessary to permit Theravance to exercise its rights hereunder."", ""If GSK terminates a Collaboration Product at any time after initiation of the first Phase III Study concerning such Collaboration Product, and Development of all other Collaboration Products and Pooled Compounds have been discontinued for Technical Failure and/or Commercial Failure, then at the sole election of Theravance, the following shall apply:   (a) GSK shall, at its sole expense, promptly transfer to Theravance copies of all data, reports, records and materials in its possession or control that relate to the Theravance Compounds and return to Theravance, or destroy at Theravance's request, all relevant records and materials in its possession or control containing Confidential Information of Theravance (provided that GSK may keep one copy of such Confidential Information of Theravance for archival purposes only in accordance with Section 10.1).   (b) GSK shall, at its sole expense, transfer to Theravance, or shall cause its designee(s) to transfer to Theravance, ownership of all regulatory filings made or filed for the Terminated Development Collaboration Product that contains a LABA as a single agent (to the extent that any are held in GSK's or such designee(s)'s name), such transfer to be as permitted by any Third Party licenses or other such prior rights and applicable Laws and regulations, otherwise GSK shall cooperate as necessary to permit Theravance to exercise its rights hereunder."", 'During the Term of this Agreement and for a period of one (1) year after the termination or expiration of this Agreement, GSK shall obtain and/or maintain at its sole cost and expense, product liability insurance (including any self-insured arrangements) in amounts which are reasonable and customary in the U.S. pharmaceutical industry for companies of comparable size and activities']",Yes
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF",['Collaboration Agreement'],"['With regard to the Molecular Information Platform Program, Roche shall have the right to terminate without cause either or both of the Sample Profiling or Molecular Information Database Access activities individually.', 'With regard to the CDx Development Program, Roche shall also have the right to terminate, without cause, the development of an Approved Marker and/or an Investigational Marker for inclusion in a CDx Assay, upon [â¦***â¦] prior written notice; provided however that this right shall expire with respect to each Approved Marker for inclusion in a particular CDx Assay at such time as FMI has completed analytical validation for such Approved Marker.', 'Roche shall have the right to terminate the Agreement in its entirety, or on a Work Stream-by-Work Stream basis, except for the ctDNA Work Stream, upon [â¦***â¦] prior written notice, without cause.']",Yes,[],No,['Neither Party shall have the right to assign the present Agreement or any part thereof to any Third Party other than Affiliates without the prior written approval of the other Party.'],Yes,"[""Upon any termination of the Agreement, a Work Stream (or Approved Marker or Investigational Marker program), or this Agreement under Section 17.2.2, (i) FMI shall promptly return to Roche unused or remaining Samples that were provided for use in a terminated Work Stream (or related to the relevant Approved Marker or Investigational Marker), or, at Roche's option, securely dispose of all such unused or remaining Samples and provide Roche with a written notice of such disposal, (ii) each Party shall wind-down their activities under the Agreement in a manner that is intended to be expeditious and to mitigate losses arising from non-cancellable expenses and financial commitments to Third Parties, (iii) upon any termination by Roche under Section 17.2.3, or by FMI under Section 17.2.1 or Section 17.2.2, that includes the Immunotherapy Testing Platform Development Work Stream, the obligations in Section 3.2.8 shall terminate, (iv) each Party shall continue to Control its own intellectual property, including Patent Rights and Know-How, and Handle its own Patent Rights, and (v) Joint Patent Rights, if any, shall be handled by Roche subject to the provisions of Section 12.4 and 12.6, and each Party shall have the right to fully exploit such Joint Patent Rights."", ""Upon termination of the Agreement or the Work Stream requiring the use of the Samples, or upon completion of those activities requiring use of the Samples, FMI shall promptly return to Roche unused or remaining Samples, or, at FMI's option, securely dispose of all unused or remaining Samples and provide Roche with a written notice of such disposal.""]",Yes
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.PDF",['JOINT VENTURE AGREEMENT'],[],No,[],No,"['During the term of this agreement NVOS shall have the right to assign, transfer or sell all or part of its interest in the agreement upon the terms and conditions herein, subject only to prior written notice to HGF.', 'During the term of this agreement HGF shall have the right, upon written approval of NVOS, to assign, transfer or sell all or part of their interest in this agreement.']",Yes,[],No
"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT.PDF",['JOINT VENTURE AGREEMENT'],[],No,"[""(v) By FSL/AFSL and TPH/TPH-A, if there is a change in the Control of the other and the acquiring/succeeding entity causing such change in the Control is an entity that may be reasonably believed to be objectionable to the Japanese Government and/or FSL including FSL's Affiliates in case of the termination by FSL/AFSL or the US Government and/or TPH in case of the termination by TPH/TPH-A, termination to be effective upon thirty (30) days' notice of termination.""]",Yes,"[""Notwithstanding the foregoing, no rights, obligations or liabilities hereunder shall be assignable by a Party without prior written consent of all of the other Parties; provided, however, that a Party shall not unreasonably withhold its consent to the assignment of rights and obligations by the other Parties to its Affiliate if that Affiliate's performance has been guaranteed satisfactorily in form and substance by the assigning Party.""]",Yes,[],No
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT.PDF,['JOINT VENTURE CONTRACT'],[],No,[],No,"['Except as otherwise provided herein, this Contract may not be assigned in whole or in part by any Party without the prior written consent of the other Party and the approval of the Examination and Approval Authority.']",Yes,[],No
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT.PDF",['NON-COMPETITION AGREEMENT AMENDMENT NO. 1'],[],No,[],No,[],No,[],No
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.PDF,['NON-COMPETITION AND NON-SOLICITATION AGREEMENT'],[],No,[],No,['This Agreement shall be binding upon and inure to the benefit of the parties and their respective successors and permitted assigns; provided that this Agreement shall not be assignable or otherwise transferable by any party without the prior written consent of the other party (which consent shall not be unreasonably withheld or delayed) and any purported assignment or transfer without such consent shall be null and void.'],Yes,[],No
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.PDF,['STRATEGIC ALLIANCE AGREEMENT'],"['At any time during a renewed term, this Agreement may be terminated by any party on six (6) months prior notice that it wishes to terminate the Agreement.']",Yes,"[""This Agreement may be terminated as follows:<omitted>(d) by any party if the SMBC Unit-Holders cease to hold any Partnership Interests as a result of sale or transfer pursuant to Section 12.4 of this Agreement or Section 8.4 of the Moelis Holdings Agreement, such termination to be effective six (6) months following the date on which the other parties receive written notice of such party's election to terminate this Agreement;""]",Yes,"[""This Agreement may not be assigned by any party without the written consent of the other parties, except to a subsidiary or controlled affiliate of such party which succeeds such party's conduct of Covered Businesses.""]",Yes,[],No
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.PDF,['STRATEGIC ALLIANCE AGREEMENT'],"['ENERGOUS may, at any time after the third anniversary of the Effective Date, terminate this Agreement with or without cause upon not less than one hundred and eighty (180) days prior written notice to DIALOG.']",Yes,"[""If DIALOG is acquired by a third party, DIALOG's acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to ENERGOUS."", ""ENERGOUS will have the right to terminate this Agreement immediately upon the issuance of written notice to DIALOG (A) if DIALOG undergoes a Change of Control involving a competitor of ENERGOUS (as reasonably determined by ENERGOUS), or (B) if DIALOG or any of its Affiliates acquires, whether directly or indirectly through a sale of assets or a Change of Control transaction or otherwise, any competitor of ENERGOUS. DIALOG will provide ENERGOUS with notice of any such Change of Control or acquisition within [***] after the closing thereof and ENERGOUS' right to terminate the Agreement will expire [***] after receipt of such notice."", ""If ENERGOUS is acquired by a third party, ENERGOUS' acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to DIALOG."", ""DIALOG will have the right to terminate this Agreement immediately upon the issuance of written notice to ENERGOUS (A) if ENERGOUS undergoes a Change of Control involving a competitor of DIALOG, or (B) if ENERGOUS acquires, whether directly through a sale of assets or through a Change of Control transaction, any competitor of DIALOG (as reasonably determined by DIALOG). ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice."", 'Notice of Merger or Acquisition. Until the date that this Agreement terminates or is terminated in accordance with Section 15 hereof, ENERGOUS agrees that, [***].']",Yes,"['This Agreement may not be assigned by either party without the express written consent of the other party, which approval will not be unreasonably withheld or delayed, except that either party may (without consent but with notice to the other party) assign this Agreement in its entirety to any successor in the event of a Change of Control of such party.']",Yes,"[""Upon the termination of DIALOG's right to manufacture the Licensed Products following any expiration or termination of the Agreement or any Wind Down Period or Continuing Obligation period, as applicable, then all right, title and interest in the Tooling will automatically transfer to ENERGOUS subject to any Third Party IP, and DIALOG will, at ENERGOUS' option, either sell any Tooling in its possession to ENERGOUS at cost or destroy the Tooling and certify in writing as to same."", 'If, at the time of notice of any termination of this Agreement, DIALOG or any of its Affiliates has a written supply contract with a customer that extends beyond the end of the Wind Down Period (a ""Continuing Obligation""), DIALOG and/or its Affiliates may continue to Sell Licensed Products to such customer through the term of the Wind Down Period and for the remainder of the term of such Continuing Obligation, provided that in no event may DIALOG or its Affiliates Sell Licensed Products to such customer pursuant to this Section 15.4(b) for a period longer than [***] after the effective date of termination of this Agreement.', 'Notwithstanding any statement in Section 15.3 to the contrary, upon any termination or expiration of this Agreement and until the later to occur of (i) [***] from the Effective Date or (ii) [***] following the effective date of termination or expiration of this Agreement (the ""Wind Down Period""), the parties\' respective rights and obligations under Sections 2 (License), 3 (Sourcing), 7 (Product Sales), 9 (Royalties and Service Fees), 11 (Representations and Warranties; Disclaimers), 12 (Indemnification), 13 (Limitation of Liability), 14 (Compliance with Laws), 15.2 (Termination), 16 (Escrow) and all Exhibits hereto which are associated with any of the foregoing listed sections will remain in full force and effect as to (A) any Products or repackaged Product Die with respect to which DIALOG or any of its Affiliates has secured a design win at a customer prior to or within one (1) month after the start of the Wind Down Period, or (B) the sale of any MCMs which have been released for production at a foundry, provided, however, that DIALOG\'s license rights under Section 2.1 (including any sublicenses granted by DIALOG pursuant to Section 2.4) will be non-exclusive during the Wind Down Period.', 'In such event, the provisions of this Agreement that survive during the Wind Down Period will continue to survive for the remainder of the period of time that DIALOG is authorized to Sell Licensed Products to any customer in accordance with the foregoing sentence.']",Yes
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.PDF",['JOINT VENTURE AGREEMENT'],[],No,[],No,"['Assignment of Member status, under this clause, including any management and voting interests, will require the consent of all the remaining Members.']",Yes,[],No
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.PDF",['AMENDMENT AND TERMINATION OF JOINT VENTURE AGREEMENT'],[],No,[],No,[],No,[],No
"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT.PDF",['JOINT VENTURE AGREEMENT'],[],No,"['This JV Agreement cannot be assigned by a Party, also as a result of the transfer of a business as a going concern, of a merger, of a de-merger or of a spin-off, without the prior written consent of the other Party.']",Yes,"['This JV Agreement cannot be assigned by a Party, also as a result of the transfer of a business as a going concern, of a merger, of a de-merger or of a spin-off, without the prior written consent of the other Party.']",Yes,"['Upon termination of the contract, the agreement set forth in clause 5 (""Intellectual property rights and prohibition of transfer to third parties"") and clause 6 (""Economic rights"") will remain into force.']",Yes
IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT.PDF,['JOINT VENTURE AGREEMENT'],[],No,[],No,[],No,"['The Parties agree that during the pendency of the winding up, the JVC will be allowed to use the Technical Know How to the extent the same is necessary for the purpose of implementing any orders pending in favour of its customers.', 'Provided, however, that in the event the termination of this Agreement is followed by a sale of all of the shares held by IMPCO in the JVC to MINDA/MIL, the JVC will have a right to continue to use the Technical Know How already received and absorbed on the condition that royalty payments under the TAA have been paid by the JVC to IMPCO or will be paid, as the case may be, for a minimum period of five (5) years, as provided in the TAA.']",Yes
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF,['AFFILIATE AGREEMENT'],[],No,[],No,[],No,[],No
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,['AGENCY AGREEMENT'],"['If any of the conditions  specified in Section 8 shall not have been  fulfilled when and as required by this  Agreement,  or by the Closing Date,  or waived in writing  by Capital  Resources,  this  Agreement  and all of Capital Resources  obligations hereunder may be canceled by Capital Resources by notifying the Association of such  cancellation in writing or by telegram at any time at or prior to the  Closing  Date,  and,  any  such  cancellation  shall be without  Liability of any party to any other party except as otherwise  provided in Sections 2, 7, 9 and 10 hereof.', 'If Capital Resources elects to terminate this Agreement as provided in this section,  the Company and the Association  shall be notified as provided in Section 13 hereof,  promptly by Capital  Resources  by  telephone or telegram, confirmed by letter.', 'Capital Resources may terminate  this Agreement by giving the notice indicated below in this Section at any time after this Agreement becomes effective as follows:', 'In the event the  Company  fails to sell all of the Shares within the period  specified,  and in accordance with the provisions of the Plan or as required by the Conversion  Regulations and applicable law, this Agreement shall terminate upon refund by the Association to each person who has subscribed for or ordered any of the Shares the full amount which it may have received from such person, together with interest as provided in the Offering Prospectus,  and no party to this  Agreement  shall have any  obligation to the other  hereunder, except  for  payment  by the  Association  and/or  the  Company  as set forth in Sections 2, 7, 9 and 10 hereof.']",Yes,[],No,[],No,[],No
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.PDF,['AGENCY AGREEMENT'],[],No,[],No,[],No,"['The respective  indemnities of the Company,  the MHC, the Bank and the Agent and the representations and warranties and other statements of the Company, the MHC, the Bank and the Agent set forth in or made  pursuant  to this  Agreement  shall remain in full force and effect,  regardless of any  termination or cancellation of this Agreement or any  investigation  made by or on behalf of the Agent,  the Company,  the MHC, the Bank or any  controlling  person referred to in Section 8 hereof,  and shall  survive the  issuance of the Shares,  and any  successor  or assign of the Agent,  the Company,  the MHC, the Bank, and any such  controlling person  shall  be  entitled  to  the  benefit  of  the  respective   agreements, indemnities, warranties and representations.']",Yes
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.PDF,['AGENCY AGREEMENT'],"['So long as no default exists and is continuing hereunder or under the Lease, either party may terminate this Agreement at any time upon ____________ (______30________) days written notice to the other party; provided however that such termination shall not act as a termination of any Equipment leased hereunder.']",Yes,[],No,[],No,[],No
