Filename,Document Name,Revenue/Profit Sharing,Revenue/Profit Sharing-Answer,Price Restrictions,Price Restrictions-Answer,Minimum Commitment,Minimum Commitment-Answer,Volume Restriction,Volume Restriction-Answer,Audit Rights,Audit Rights-Answer
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.PDF,['Intellectual Property Agreement'],"['Royalty payments are payable from THI to Marv Enterprises, LLC and will be in the amount of 5% of the Fair Market Value of:   a. Licensed Product that is sold, leased or put into use by the THI or any Related Companies in the preceding calendar quarter; and   b. any service performed by THI or any Related Companies that directly or indirectly uses Licensed Product.', ""In addition to the 5% amount calculated pursuant to the preceding paragraph, there shall be an identical 5% amount to be paid from THI, per Premier's consideration, to certain shareholders of Premier, as identified by Premier, as of a record date to be determined in the future, on an annual basis, commencing on the one-year anniversary of this Agreement until a total amount of $40,000,000 has been paid to Premier.""]",Yes,[],No,[],No,[],No,[],No
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.PDF",['Promotion Agreement'],"['Such Promotion Fees shall be calculated by:\n\n(a) the following formula for the period from the Effective Date through September 30, 2010:\n\nFor example: if during the month of March 2010 (a) (A) above was 2,000 TRx and (B) above was $36.50 then MBRK  would be remit $36,500.00 to DD.\n\nOR\n\n(b) the following formula for the period from October 1, 2010 through termination of this Agreement:\n\n  (A)   the Actual DD Target Segment MOXATAG TRx for the Promotional Measurement Period multiplied by:      (B)   the applicable Gross Margin Per TRx multiplied by:      (C)   50%.\n\n  (A)   the Actual DD Target Segment MOXATAG TRx Tablets for the Promotional Measurement Period multiplied by:      (B)   the applicable Gross Margin Per Tablet multiplied by:      (C)   50%.']",Yes,[],No,[],No,[],No,"[""DD shall also make its records and other documents relevant to MBRK and  this Agreement available for audit or review by MBRK upon MBRK's request at a mutually agreed upon time.""]",Yes
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..PDF",['PROMOTION AGREEMENT'],"['As consideration for the rights granted and the services      to be rendered hereunder, the Company hereby grants to Nantz options (the      ""Options""), to purchase shares of the common stock of the Company par value      $.001 per share (the ""Share""), which are exercisable as follows:']",Yes,[],No,[],No,"[""Nantz agrees to be available      for up to four photography sessions (2  in Southern California during the      week and 2 to be at Nantz's site locations or tournaments), two speaking      engagements, and three store appearances each Contract Year, at times and      places mutually convenient for Nantz and the Company but in no event at      times which adversely impact on the schedules of Nantz Communications or      Nantz."", 'The Company agrees that each photography session shall not      exceed one and one-half days and each speaking engagement and store      appearance shall not exceed one-half day.']",Yes,[],No
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT.PDF,['PROMOTION AGREEMENT'],[],No,[],No,[],No,"['The total  number of Pin Codes to be distributed as prizes in the Promotion shall not exceed: (i) 277,760 Pin Codes containing three (3)  music downloads per Pin Code ; (ii) 130,300 Pin Codes containing five (5) music downloads per Pin Code; and (iii) 27,900 Pin  Codes containing seven (7) music downloads per Pin Code.', ""Such a consumer wil l be entitled to visit a custom interactive landing page at the  CharityTunes.com website to enter the unique code and consumer's valid email address to receive downloads up to a  maximum of either three (3), five (5), or seven (7) free MP3 song downloads having a retail value of $1.29 per song or less."", 'The distribution limits stated above are the maximum number of Pin Codes that may be distributed in the Promotion.', 'No Designated Sponsor Product shall contain more than 1 Pin  Code per pack.']",Yes,[],No
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.PDF",['Promotion and Distribution Agreement'],[],No,[],No,[],No,[],No,"[""During the Term, and for a period of [ * ] thereafter, Google may audit Distributor's relevant records to confirm  Distributor's compliance with this Agreement.""]",Yes
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.PDF,['Promotion Agreement'],['PageMaster Corporation will pay Go Call $3.00 per pager (beginning with pager # 1) and 5% of all airtime renewal revenue for each pager redeemed for this promotion consistent with the terms of paragraph 6b of this Agreement.'],Yes,[],No,"['PageMaster Corporation shall provide a minimum of 100,000 up to                500,000 pagers for the fulfillment of this promotion to all                Purchase Customers who prepay their annual airtime.']",Yes,"['PageMaster Corporation shall provide a minimum of 100,000 up to                500,000 pagers for the fulfillment of this promotion to all                Purchase Customers who prepay their annual airtime.']",Yes,"[""Such examination shall                be made at the regular place of business of PageMaster                Corporation where such books and records are maintained during                normal business hours and shall be conducted at Go Call's expense                by a certified public accountant or other Go Call executive so                designated by Go Call."", 'Go                Call, upon ten (10) days written notice, shall have the right to                examine the books and records of PageMaster Corporation to verify                the sales resulting from this promotion.']",Yes
QBIOMEDINC_04_08_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,['JOINT VENTURE AGREEMENT'],"['Division of Income and Losses. All income and credits, and all losses and      deductions shall be owned and shared among the Joint Venturers as follows:\n\n     50% to Collectible Concepts Group, Inc.\n\n     50% to Pivotal Self Service Tech, Inc.']",Yes,[],No,[],No,[],No,"['All books and records of every kind and character, of      the Joint Venture, and other information, shall be kept at the principal      office of the Joint Venture, or at such other place or places as may be      agreed upon by the Joint Venturers, and shall be fully available to each      Joint Venturer or his duly authorized representative, all at reasonable      times.', 'If requested      by a Joint Venturer, the Joint Venture books and records shall be audited      as of the close of each year by an independent accountant acceptable to      both Joint Venturers.']",Yes
"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.PDF,['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.PDF",['Strategic Alliance Agreement'],"[""For any Product or Solution sold to any perspective clients introduced by Bravatek registered with COMPANY via email to COMPANY's CEO and delivered through Bravatek or a COMPANY-designated distribution affiliate(s) or sales channel(s), Bravatek will receive a lead-finder fee, to be mutually discussed and finally decided by COMPANY at the range of minimum of 10% to maximum of 20% of project revenue, with an exact fee to be depending upon the overall project sales margin and cost of development and delivery of each project, payable NET 30 days after each client payment on delivered products received at COMPANY's bank account.""]",Yes,[],No,"[""For any Product or Solution sold to any perspective clients introduced by Bravatek registered with COMPANY via email to COMPANY's CEO and delivered through Bravatek or a COMPANY-designated distribution affiliate(s) or sales channel(s), Bravatek will receive a lead-finder fee, to be mutually discussed and finally decided by COMPANY at the range of minimum of 10% to maximum of 20% of project revenue, with an exact fee to be depending upon the overall project sales margin and cost of development and delivery of each project, payable NET 30 days after each client payment on delivered products received at COMPANY's bank account.""]",Yes,[],No,[],No
PLAYAHOTELS_RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun).PDF,['STRATEGIC ALLIANCE AGREEMENT'],[],No,[],No,[],No,[],No,[],No
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.PDF,['Cooperation Agreement'],[],No,[],No,[],No,[],No,[],No
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3).PDF,['COLLABORATION AGREEMENT'],[],No,[],No,[],No,[],No,[],No
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.PDF,['PROMOTION AGREEMENT'],"['In partial consideration of Company\'s Promotion of the Product in accordance with the terms of this Agreement, and subject to the terms and conditions of this Agreement, with respect to each Calendar Quarter during Calendar Year 2019 and Calendar Year 2020, Janssen shall pay Company a service fee (the ""Service Fee""), as follows:\n\n(a) with respect to each Calendar Quarter during Calendar Year 2019, an amount equal to (i) [***] percent ([***]%) of that portion of Cumulative Net Sales that is greater than the Baseline for Calendar Year 2019, less (ii) the total Service Fees that have been invoiced by Company to Janssen for all preceding Calendar Quarters of Calendar Year 2019; and\n\n\n\n\n\n(b) with respect to each Calendar Quarter during Calendar Year 2020, an amount equal to (i) [***] percent ([***]%) of that portion of Cumulative Net Sales that is greater than the Baseline for Calendar Year 2020, less (ii) the total Service Fees that have been invoiced by Company to Janssen for all preceding Calendar Quarters of Calendar Year 2020.']",Yes,[],No,"[""For clarity, (i) Company must achieve all of the applicable foregoing minimum requirements in order to avoid giving rise to Janssen's rights and remedies under this Section 3.2.3, and (ii) such rights shall be in addition to any other rights and remedies that may be available to Janssen under applicable Laws in the event of any such failure on the part of Company."", 'At a minimum, Company shall cause its Sales Force to satisfy the Minimum Number of Details Requirement, the Minimum Reach Requirement and, if applicable, the Minimum PDE Requirement and the Minimum Top Target Requirement set forth in Exhibit B in each Detailing Period.', 'At all times during the Term, Company shall use reasonable efforts to deploy and maintain a sales force (the ""Sales Force"") of at least [***] ([***]) Sales Representatives who satisfy the conditions described in Section 3.3.1.', ""If the average number of Sales Representatives on the Sales Force is less than twenty-five (25) over any forty-five (45)-day period, Janssen will have the right to terminate this Agreement by giving thirty (30) days' notice."", ""If Company fails to achieve the Minimum Number of Details Requirement, the Minimum Reach Requirement or, if applicable, the Minimum PDE Requirement or the Minimum Top Target Requirement in any Detailing Period, Janssen shall have the right to terminate this Agreement by giving thirty (30) days' notice, unless:\n\n(a) Company complied with and performed its Detailing activities in accordance with any Remediation Plans developed by Company and approved by Janssen during such Detailing Period; or\n\n(b) if (i) neither Party provided a Performance Failure Notice under Section 3.2.4 during such Detailing Period and (ii) Company performs additional Details in the first month after such Detailing Period such that, if such Details had been performed during such Detailing Period, they would have been sufficient to cure the failure to achieve the Minimum Number of Details Requirement, the Minimum Reach Requirement, the Minimum PDE Requirement or the Minimum Top Target Requirement, as applicable. To avoid double-counting, such additional Details will not be taken into account when determining whether Company satisfies the Minimum Number of Details Requirement, Minimum Reach Requirement or, if applicable, the Minimum PDE Requirement or the Minimum Top Target Requirement in the then-current Detailing Period.""]",Yes,[],No,"[""Janssen or an authorized representative of Janssen, and any governmental agency that regulates a Party, may, at reasonable times during the Term and upon reasonable notice to Company, inspect and audit the Books and Records of Company with respect to Company's obligations under this Agreement for the sole purpose of evaluating Company's compliance with Sections 3.1.3, 3.4.2, 11.5 and 11.6 of this Agreement, applicable Laws and the Promotion Rules."", ""Without prejudice to Section 7.5 of the Agreement, Janssen or its designee shall have the right to audit Company to verify Company's compliance with this Schedule and the Applicable Law, provided that Janssen provides Company with at least [***] ([***]) calendar days prior written notice. T"", ""The independent certified public accounting firm will be provided access to the Books and Records of the Audited Party, and such examination will be conducted during the Audited Party's normal business hours."", 'Upon [***] ([***]) days prior notice from a Party (the ""Auditing Party""), the other Party (the ""Audited Party"") will permit an independent certified public accounting firm of internationally recognized standing selected by the Auditing Party and reasonably acceptable to the Audited Party, to examine the relevant Books and Records of the Audited Party, as may be reasonably necessary to verify the accuracy of the reports provided by the Audited Party pursuant to Section 3.2.4 or Section 5.5.1, as applicable, and the payments made or invoiced under this Agreement.']",Yes
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT.PDF,['Joint Venture Agreement'],[],No,[],No,"['Subject to the provisions of Article 6.1, the Operating Company shall annually declare and pay by March 15 a distribution to each Party equal to the larger of the two estimated annual tax liabilities as reflected on the approved Party Tax Estimates (the ""Minimum Distribution"").', 'Upon the entering into of the agreements referred to in Articles 3.5 and 3.6, the Operating Company shall capitalize the Manufacturing Company through the contribution of equity received by it from T&L pursuant to Article 3.1 in an amount equal to at least $21,614,000.']",Yes,[],No,"['From time to time, each Party shall have the right to have its own internal or external auditors review the books and records of the Joint Venture.']",Yes
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT.PDF",['JOINT VENTURE AGREEMEN'],[],No,[],No,[],No,[],No,"['Accurate and complete books of account of the transactions of the Joint Venture will be kept in accordance with generally accepted accounting principles (GAAP) and at all reasonable times will be available and open to inspection and examination by any Participant.', 'The audit will be performed by an accounting firm acceptable to all the Participants.', 'Any of the Participants will have the right to request an audit of the Joint Venture books.', 'Not more than one (1) audit will be required by any or all of the Participants for any fiscal year.', 'The cost of the audit will be borne by the Joint Venture.']",Yes
"ONEMAINHOLDINGS,INC_02_20_2020-EX-99.D-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
"MACY_S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.PDF,['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.PDF,['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT.PDF",['JOINT FILING STATEMENT'],[],No,[],No,[],No,[],No,[],No
"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
"SPRINGBANKPHARMACEUTICALS,INC_04_08_2020-EX-99.A-JOINT FILING AGREEMENT.PDF",['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,['JOINT FILING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.PDF,['Promotion Agreement'],"['For each month during the Term, the Company will pay CNET a                  minimum of [XXXX] in cash, plus [XXX] of CNET Sales.']",Yes,[],No,"['For each month during the Term, the Company will pay CNET a                  minimum of [XXXX] in cash, plus [XXX] of CNET Sales.']",Yes,[],No,"['Each party will have the right to engage an independent           third party to audit the books and records of the other party relevant           to the calculation of Retail Impressions or CNET Sales, upon           reasonable notice and during normal business hours, and the other           party will provide reasonable cooperation in connection with any such           audit.']",Yes
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.PDF,['PROMOTION AGREEMENT'],"['Following the termination of this Agreement at the conclusion of the initial five year term or any additional term, for each of the eight full calendar quarters following such termination, Depomed shall pay to King an amount equal to, in each of the first four such calendar quarters, [***]% of the Net Sales for each such quarter and, in each of the fifth through eighth such calendar quarters, [***]% of such Net Sales for each such quarter.', 'In consideration for King\'s performance of its obligations under this Agreement, Depomed shall pay promotion fees (the ""Promotion Fees"") to King as follows: following each Agreement Quarter during the Term, Depomed shall pay to King 50% of the Gross Margin for such Agreement Quarter.']",Yes,[],No,"['Upon the third failure by King to meet the PDE Minimum during any six consecutive Agreement Quarters, Depomed shall have the right to [***] or demand that King shall cure such default in the same manner outlined in clause (i) above for the first such default.', 'In fulfilling its obligations under this Section 4.1(b), King will perform [***], as follows: King will perform no less than an average of [***], with such reach and frequency as the JCC determines as part of the Annual Plan each year.', 'King agrees that from and after the Promotion Commencement Date, the King Sales Force will be staffed with at least [***] full-time Sales Representatives (subject to vacancies consistent with average vacancy rate experienced by King across its total sales force) who are actively promoting the Product in accordance with the Launch Plan or Annual Plan (the ""Minimum Sales Force Level""); provided that King may meet such requirement to actively promote the Product by promoting the Product through P2 Details and P3 Details.', 'If King does not perform, in the aggregate, two times the PDE Minimum in any two consecutive Agreement Quarters, Depomed may demand that King cure such default by (A) [***] and (B) [***], in each case, prior to the end of the next succeeding Agreement Quarter following notice from Depomed.', 'In the event that King does not perform the PDE Minimum in any Agreement Quarter (the difference between such PDE Minimum and the number of PDEs actually conducted, the ""PDE Shortfall""), King will have until the end of the Agreement Quarter immediately following to cure its failure by providing a sufficient number of excess PDEs in the immediately following Agreement Quarter.', 'From and after the Promotion Commencement Date, King shall perform at least [***] PDEs per calendar year, with such amount prorated over the initial and final calendar years of the Term if either such year is a partial year.', ""If, as of the end of any period of the immediately previous four consecutive Agreement Quarters, Promotion Net Sales for such period are less than $[***], either party shall have the right to terminate this Agreement on 120 days' prior written notice to the other party, which notice may not be given before the third anniversary of the Promotion Commencement Date.""]",Yes,[],No,"['The fees and expenses of the auditor performing such verification examination shall be borne by the party conducting the verification; provided, however, that if any verification reveals that the audited party has reported incorrectly, and the amount of such discrepancy is at least five percent of the aggregate amount that should have been reported for the period examined, then the audited party shall pay the entire amount of the fees and expenses for such verification.', 'Upon 30 days prior written notice, such records shall be made available by the audited party for audit by an independent certified public accounting firm designated by the other party and reasonably acceptable to the party whose records are to be examined.', 'The auditor will only examine such books and records during business hours but not more than once each fiscal year while this Agreement remains in effect and for three years thereafter in order to verify expenses, Net Sales, Depomed Net Sales, PDEs or Details completed, or payments due under this Agreement.', 'Any such audit may be conducted no more than once each fiscal year. The fees and expenses of the auditing party shall be borne by such party.', ""Each party shall have the right, upon five business days' prior written notice, to audit all applicable records of the other party (other than records described in Section 7.2(a)) for the purpose of determining the audited party's compliance with the obligations set forth in this Agreement, including with respect to training programs and certifications and records reports for the Samples."", 'This right to audit shall extend throughout the term of this Agreement and for one year after expiration or termination of this Agreement.', 'The audit will be conducted during normal business hours, at convenient times.']",Yes
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.PDF",['INTELLECTUAL PROPERTY AGREEMENT'],[],No,[],No,[],No,[],No,[],No
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT.PDF,['INTELLECTUAL PROPERTY AGREEMENT'],[],No,[],No,[],No,[],No,[],No
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..PDF",['INTELLECTUAL PROPERTY AGREEMENT'],[],No,[],No,[],No,[],No,[],No
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,"['AMENDMENT TO SECTION 2, PART B OF THE CO-BRANDING AGREEMENT']",[],No,[],No,[],No,[],No,[],No
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.pdf,['SECOND AMENDMENT TO CO-BRANDING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,['CO-BRANDING AGREEMENT'],[],No,[],No,[],No,[],No,[],No
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement2.pdf,['GUARANTEES OF MASTER FRANCHISE AGREEMENT'],[],No,[],No,[],No,[],No,[],No
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3.pdf,['Attachment C to Master Franchise Agreement   MULTI-STATE ADDENDUM   CALIFORNIA APPENDIX'],[],No,[],No,[],No,[],No,[],No
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.pdf,['MASTER FRANCHISE AGREEMENT'],"['Once you have units open and operating in the trade area where a National Account is located, we will remit to you 25% of the profits derived from the sales in that specific trade area.', 'You shall pay to us a royalty fee based on revenue generated by Unit Franchisees (the ""Unit Franchise Performance Royalty Fee"") equal to twenty-five percent (25%) of aggregate royalty fees paid to you by Unit Franchisees in the Master Territory pursuant to their Unit Franchise Agreements.', 'You shall pay to us a franchise sales royalty fee (the ""Franchise Sales Royalty Fee"") for each Unit Franchise you sell in the Master Territory as follows: twenty-five percent (25%) of the initial franchise fee collected from each Unit Franchisee upon execution of the Unit Franchisee\'s Franchise Agreement (a ""Unit Franchise Agreement""); provided, however, that if you elect to discount or reduce an initial franchise fee for any reason, the Franchise Sales Royalty Fee shall be payable to us as if the full initial franchise fee had been paid.']",Yes,[],No,"['In order to keep your exclusivity, you agree to purchase a minimum of the following:   $170,000.00 of soup from us in 2015 $1,600,00.00 of soup from us in 2016 $3,200,000.00 of soup from us in 2017 $5,000,000.00 of soup from us in 2018 and shall increase 10% each year thereafter.', 'If you do not meet the Minimum Development Quota, we may cancel your exclusive right to market and sell Unit Franchises in your Master Territory and may sell additional Master Franchises within your Master Territory, or we may begin operations of our own in your Master Territory, or we may terminate this Agreement.', 'You shall be in default under this Agreement, and we may, at our option, terminate this Agreement and all rights granted under this Agreement, without affording you any opportunity to cure the default, effective immediately upon receipt of notice by you upon the occurrence of any of the following events:<omitted>If you fail to comply with the Minimum Development Quota.', 'In addition to The Original Soupman business you must own and continuously operate, you must sell and have open the minimum number of The Original Soupman businesses as set forth on Attachment E hereto (the ""Minimum Development Quota"") by the dates set forth on such Attachment.', 'You shall expend not less than $5,000 each month on such Solicitation Advertising.']",Yes,['We will provide you or one of your principals and up to five (5) additional persons with a comprehensive initial training program and additional training programs from time to time.'],Yes,"['You further acknowledge and agree that we may inspect your Franchised Business and any Unit Franchise in the Master Territory to verify that your Franchised Business and/or such Unit Franchise is operating in compliance with our System, as it may be modified from time to time.', 'We shall have the right, at all reasonable times, to inspect the products and services on which the Proprietary Marks shall be used as we consider necessary to carry out the purposes of inspection as part of appropriate quality control.', 'Notwithstanding the foregoing, we reserve the right to inspect or examine your accounts, books, records and tax returns, at any reasonable time, with or without prior notice to you.']",Yes
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4.pdf,['ADDENDUM REQUIRED BY THE DEPARTMENT OF LAW OF THE STATE OF NEW YORK'],[],No,[],No,[],No,[],No,[],No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.pdf,['SERVICES AGREEMENT'],[],No,[],No,[],No,[],No,"[""Upon reasonable request, copies of any such books and records shall be provided promptly by FASC to the Account or the Account's owners or authorized representatives.""]",Yes
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT.pdf,['SECOND AMENDMENT TO SERVICES AGREEMENT'],[],No,[],No,[],No,[],No,[],No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF.pdf,['LIMITED POWER OF ATTORNEY'],[],No,[],No,[],No,[],No,[],No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT.pdf,['AMENDMENT TO SERVICES AGREEMENT'],[],No,[],No,[],No,[],No,[],No
WESTERN COPPER - NON-COMPETITION AGREEMENT.PDF,['NON COMPETITION AGREEMENT AND RIGHT OF FIRST OFFER'],[],No,[],No,[],No,[],No,[],No
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.PDF","['COLLABORATION AGREEMENT (""']","['Within twenty (20) days after the end of each Calendar Quarter , GSK shall pay Theravance royalty payments based on Net Sales in such Calendar Quarter during the Term as follows:        On total Annual Worldwide Net Sales up to and including U.S. $3 Billion:\n\n  15   %                   On total Annual Worldwide Net Sales greater than U.S. $3 Billion:\n\n  5   %     it being understood that Net Sales of a single agent Collaboration Product will be combined with Net Sales of a LABA/ICS Combination Product for purposes of the foregoing royalty calculation.', 'The 15% royalty payable on the first U.S. $3 Billion of total annual worldwide Net Sales under this Section 6.3 shall be reduced to 10% if all of the following occur: (i) all Theravance Compounds are discontinued by the collaboration for Technical Failure; (ii) Theravance fails to contribute any Theravance New Compound to the collaboration within 18 months following the Effective Date; and (iii) the Collaboration Product upon which the royalty is payable contains a LABA that is one of the GSK Initially Pooled Compounds. Nothing in the foregoing shall affect other royalties owed under this Agreement.', ""Within thirty (30) days after the end of each Calendar Quarter, GSK shall calculate the actual amount of Net Sales for the previous Calendar Quarter and either credit or debit the difference between such actual and projected amount on the succeeding Calendar Quarter's royalty payment to Theravance."", 'If GSK is not selling a LABA/ICS Combination Product, then the royalty set forth in Section 6.3.1 shall apply to the first Other Combination Product launched by GSK, provided such Other Combination Product does not contain a product in-licensed by GSK; if such Other Combination Product contains a product in-licensed by GSK, then the royalty payable to Theravance will be reduced by 50% of any running royalties paid to a Third Party, provided that in no case will the royalty payable to Theravance be less than set forth in this Section 6.3.3.', 'The 15% royalty payable on the first U.S. $3 Billion of total annual worldwide Net Sales under this Section 6.3 shall be reduced to 12% if all of the following occur: (i) all Theravance Compounds are discontinued by the collaboration for Technical Failure; (ii) Theravance only contributes one Theravance New Compound to the collaboration within 18 months following the Effective Date; and (iii) the Collaboration Product upon which the royalty is payable contains a LABA that is one of the GSK Initially Pooled Compounds.', 'The quarterly royalty payments made under this Section 6.3.1 may be based on estimated Net Sales.', 'For any Other Collaboration Product launched after the LABA/ICS Combination Product, GSK shall within twenty (20) days after the end of each Calendar Quarter, pay Theravance royalty payments based on Net Sales in such Calendar Quarter during the Term as follows:\n\nAnnual Net Sales\n\n\n\nPercentage Royalty\n\n                  Up to U.S.$750 Million\n\n  6.5   %                   Additional Net Sales up to U.S.$1.25 Billion\n\n  8.0   %                   Additional Net Sales up to U.S.$2.25 Billion\n\n  9.0   %                   Net Sales exceeding U.S.$2.25 Billion\n\n  10.0   %']",Yes,[],No,"['Milestone\n\n  Amount               Initiation of Phase I *\n\n  U.S.$10 Million   Initiation of Phase IIa**\n\n  U.S.$10 Million   Initiation of Phase IIb**\n\n  U.S.$5 Million               Initiation of Phase III\n\n  U.S.$25 Million', 'Subject to and consistent with the further Development principles outlined herein, each Party will offer a minimum of four (4) identified LABA compounds to this collaboration, with the intention of commercializing at least one Long-Acting Î²2 Adrenoceptor Agonist as a single agent and/or as a LABA/ICS Combination Product.', 'GSK shall also use Diligent Efforts to contribute at least one ICS and/or other non-LABA compound to the collaboration for the purpose of developing a combination product and Diligent Efforts to develop an optimal inhaled formulation of Collaboration Product in a device which may be either/or a dry powder inhaler formulation and/or a metered dose inhaler formulation of the Collaboration Compound and Development activities of such may continue in parallel.']",Yes,[],No,"[""During normal business hours and with reasonable advance notice to the Recording Party, such records shall be made available for inspection, review and audit, at the request and expense of Theravance, by an independent certified public accountant, or the local equivalent, appointed by Theravance and reasonably acceptable to the Recording Party for the sole purpose of verifying the accuracy of the Recording Party's accounting reports and payments made or to be made pursuant to this<omitted>Agreement; provided, however that such audits may not be performed by Theravance more than once per Calendar Year."", 'All costs and expenses incurred in connection with performing any such audit shall be paid by Theravance unless the audit discloses at least a five percent (5%) shortfall, in which case the Recording Party will bear the full cost of the audit for such Calendar Year.']",Yes
