Filename,Document Name,Uncapped Liability,Uncapped Liability-Answer,Cap On Liability,Cap On Liability-Answer,Liquidated Damages,Liquidated Damages-Answer,Warranty Duration,Warranty Duration-Answer,Insurance,Insurance-Answer,Covenant Not To Sue,Covenant Not To Sue-Answer,Third Party Beneficiary,Third Party Beneficiary-Answer
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF",['AGENCY AGREEMENT'],[],No,"['It is expressly agreed that the Agent shall not be liable for any loss, liability, claim, damage or expense or be required to contribute any amount pursuant to Section 9(b) or this Section 10 which in the aggregate exceeds the amount paid (excluding reimbursable expenses) to the Agent under this Agreement.']",Yes,[],No,[],No,"['The Blue Hills Parties carry, or are covered by, insurance in such amounts and covering such risks as is adequate for the conduct of their respective businesses and the value of their respective properties as is customary for companies engaged in a similar industry.', 'The deposit accounts of the Bank are insured by the FDIC up to the applicable limits, and upon consummation of the Conversion, the liquidation accounts for the benefit of Eligible Account Holders will be duly established in accordance with the requirements of the Massachusetts Regulations.']",Yes,[],No,[],No
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.PDF",['AGENCY AGREEMENT'],[],No,"['Notwithstanding the provisions of this Section 8(d), the Agent shall not be required to contribute any amount in excess of the amount by which the total price at which the  Series A Preferred Stock sold pursuant to this Agreement exceeds the amount of any damages which the Agent has otherwise been required to pay by reason of such untrue or alleged untrue statement or omission or alleged omission.']",Yes,[],No,[],No,"[""The Transaction Entities and each of their respective Subsidiaries are insured by insurers with appropriately rated claims paying abilities against such losses and risks and in such amounts as are prudent and customary for the businesses in which they are engaged; all policies of insurance and fidelity or surety bonds insuring the Transaction Entities, their respective Subsidiaries or their respective businesses, assets, employees, officers and directors are in full force and effect; neither of the Transaction Entities nor any of their respective Subsidiaries has been refused any insurance coverage sought or applied for; neither of the Transaction Entities nor any of their respective Subsidiaries has any reason to believe that it will not be able to renew its existing insurance coverage as and when such coverage expires or to obtain similar coverage from similar insurers as may be necessary to continue its business at a similar cost as currently paid, except as set forth in or contemplated in the Registration Statement, the General Disclosure Package and the Prospectus; and the Company has obtained or will obtain directors' and officers' insurance in such amounts as is customary for companies engaged in the type of business conducted by the Company.""]",Yes,[],No,[],No
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.PDF,['STRATEGIC ALLIANCE AGREEMENT'],[],No,"['NEITHER PARTY SHALL NOT BE LIABLE TO THE OTHER FOR ANY DAMAGES, LOSSES OR EXPENSES RESULTING FROM ANY  TERMINATION OR EXPIRATION OF THIS AGREEMENT ARISING FROM ANY CLAIMS ASSERTED WHICH ARE BASED UPON  LOSS OF GOODWILL, PROSPECTIVE PROFITS OR ANTICIPATED ORDERS, OR ON ACCOUNT OF ANY EXPENDITURES,  INVESTMENTS, LEASES OR COMMITMENTS MADE BY SUCH PARTY;', 'IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR ANY SPECIAL,  CONSEQUENTIAL OR INDIRECT DAMAGES, HOWEVER CAUSED.']",Yes,[],No,"['Additionally, Zanotti shall offer to end-users the option to purchase extended warranty coverage for an additional  twenty-four (24) months - making the total warranty period sixty (60) months.', 'At all times during the Term of this Agreement, Zanotti shall warrant the Products to purchasers of AETRU Systems in  accordance with the terms of its standard warranty attached hereto as Exhibit ""C""  (""End User Warranty""), as such End User Warranty may be  modified from time to time by Zanotti, provided however that at no time shall such End User Warranty provide for a warranty coverage period of  less than thirty-six (36) months from the time of purchase by the initial end-user.']",Yes,"[""Both Parties will each have and maintain in full force and effect during the Term of this Agreement (including any post-termination  period for which indemnification obligations continue), all product liability and other insurance reasonably necessary to cover\n\n\n\n\n\n\n\n\n\n  such party's anticipated indemnification obligation and other risk of loss for which it may be liable under this Agreement."", ""Such policy or policies will (a) have aggregate limits of liability of not less than  $1,000,000 with respect to any incident or occurrence and of not less than $2,000,000 in the aggregate; (b) name both Zanotti and Aura as insured  parties; and (c) provide that such policy may not be canceled except upon not less than 30 days' written notice to both Zanotti and Aura. Each  party will provide such evidence of the effectiveness of such insurance to the other party as may be reasonably requested.""]",Yes,"[""Each party  each agrees that it will not knowingly do anything inconsistent with the other party's ownership of such party's intellectual property, including  without limitation, questioning the validity of that party's Trademarks or registering or attempting to register the other party's Trademarks in its  own name or that of any other firm, person or corporation.""]",Yes,[],No
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.PDF,['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,['STRATEGIC ALLIANCE AGREEMENT'],[],No,['NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT OR CONSEQUENTIAL DAMAGES SUFFERED BY THE OTHER PARTY AS A RESULT OF PERFORMANCE OF ANY STUDY UNDER THIS AGREEMENT.'],Yes,[],No,[],No,"[""During the term of any Study Order under this Agreement, Adaptimmune Limited shall maintain in full force and effect insurance for its and Adaptimmune's liabilities arising from the Study with limits of not less than $*** per loss and $*** annual aggregate. Adaptimmune shall provide MD Anderson with evidence of such insurance upon request."", 'MD Anderson has and will maintain in force during the term of this Agreement adequate insurance or financial resources to cover its obligations pursuant to this Agreement.']",Yes,[],No,[],No
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.PDF",['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF",['Strategic Alliance Agreement'],"['EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, NEITHER PARTY WILL  BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES ARISING OUT OF OR  RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.', ""EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, EACH PARTY'S LIABILITY FOR DAMAGES HEREUNDER (OTHER THAN IN RESPECT OF ANY CLAIM FOR MONIES DUE)  SHALL NOT EXCEED Â£200,000.""]",Yes,"['EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, NEITHER PARTY WILL  BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES ARISING OUT OF OR  RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES', ""EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, EACH PARTY'S LIABILITY FOR DAMAGES HEREUNDER (OTHER THAN IN RESPECT OF ANY CLAIM FOR MONIES DUE)  SHALL NOT EXCEED Â£200,000.""]",Yes,[],No,[],No,[],No,"['ISA shall not contest ownership by Rubicon of any of the foregoing.', ""Either Party may terminate this Agreement upon ten Business Day's Notice to  the other Party in the event the other Party contests or challenges to a material degree any of the other Party's Intellectual Property rights referred  to in Sections 5.1, and 5.3, respectively."", 'Rubicon shall not contest ownership by ISA of any of the foregoing.']",Yes,"['Except as set forth in Sections 10.3 and 10.4, nothing in this Agreement is intended to confer  benefits, rights or remedies unto any person or entity other than the Parties and their permitted successors and assigns.']",Yes
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT.PDF,['STRATEGIC ALLIANCE AGREEMENT'],"['Except for breach of Article                -------------------------------                               VIII and for Article XII, in no event shall either Party be liable to the other Party for any indirect, incidental and/or consequential damages resulting from a breach of this agreement, including without limitation lost business, lost savings, and lost profits even if the breaching Party has been advised of the possibility of the occurrence of such damages.']",Yes,"['Notwithstanding any provision of the Source Code              -----------------                                                  License, ETI shall not be required to honour any product warranty or intellectual property indemnity set forth in the Source Code License, to the extent that such breach of warranty or indemnity relates to a defect in any of the Entrust Products as of the Effective Date or the infringement or misappropriation of any third party rights incorporated into the Entrust Products as of the Effective Date.', ""Notwithstanding the foregoing, each of Nortel's and Entrust's liability to the other Party for breach of Article II shall not exceed U.S.$10,000,000."", ""For any cause of action arising under this                ---------------                                             Agreement, Nortel's liability to Entrust, and Entrust's liability to Nortel shall not exceed U.S.$5,000,000."", 'Except for breach of Article                -------------------------------                               VIII and for Article XII, in no event shall either Party be liable to the other Party for any indirect, incidental and/or consequential damages resulting from a breach of this agreement, including without limitation lost business, lost savings, and lost profits even if the breaching Party has been advised of the possibility of the occurrence of such damages.', 'In no event shall either Party be liable for any special or punitive damages arising from breach of this Agreement.', ""ETI's liability to Nortel arising from or relating to the intellectual     property indemnity set forth in the Enterprise License shall not exceed 50%     (fifty percent) of the monies paid by Nortel thereunder to a maximum of     U.S.$1,000,000 (one million U.S. dollars).""]",Yes,[],No,[],No,[],No,"['Each Grantor undertakes not to assert any                --------------------                                            claim for Patent infringement with respect to use and maintenance of Licensed Products against any end user, customer or distributor of Grantee, or any subsequent vendee, lessee, or transferee to the extent the Licensed Products have been acquired from Grantee after the Effective Date and are used for the purpose for which they predominantly have been made (without modification or amendment).']",Yes,[],No
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.PDF",['STRATEGIC ALLIANCE AGREEMENT'],[],No,[],No,"['In the event Subcontractor directly employs or contracts with an employee of EDGE without the consent of EDGE, Subcontractor shall pay as liquidated damages two times the then monthly salary of the employee for a three-month period of time.']",Yes,"[""If within one (1) year from the date of completion of Work acceptance, or within one (1) year from the completion of all other work or services and acceptance by EDGE (or within any longer materials warranty period as set forth above), any defects exists or arise, then in each case upon receipt of notice of such defect, Subcontractor shall (unless EDGE chooses another remedy) promptly cause such defect(s) to be repaired or remedied at Subcontractor's sole cost and expense, including but not limited to the costs of transportation, uncovering, removal, disposal, replacement, correction, installation and covering."", ""These warranties extend to the future performance of the materials and shall continue for the longer of (a) the warranty period applicable to EDGE' sales to Customer of the material or of products which incorporate the material, (b) one year after the material is accepted by EDGE or (c) such greater period as may be specified elsewhere in this Agreement. Repaired and replacement material shall be warranted as set forth above in this clause.""]",Yes,"[""Workers' Compensation Insurance as required by state law where the Work is performed. Employer Liability insurance with limits of at least $1,000,000 for each occurrence."", 'A copy of the (i) certificate(s) of insurance and (ii) endorsements, acceptable to EDGE, shall be submitted to EDGE prior to commencement of any Work and renewals or replacements of such certificates shall be so delivered at least 30 days prior to the expiration or termination of each such policy.', ""Umbrella/Excess Liability with limits of not less than $5,000,000 in excess of all the above-referenced Commercial General Liability, Employer's Liability and Business Auto Liability, except the following Subcontractor classifications will have limits of not less than the following: HVAC $2,000,000, Landscaping and Fencing $1,000,000. Such Umbrella/Excess Liability policies shall follow form to the terms and conditions of the underlying coverages and shall include a drop down feature in the event any underlying limits are exhausted."", ""Subcontractor expressly acknowledges while EDGE retains the right to review the insurance provided by Subcontractor and' Lower-tier Subcontractors, EDGE is not obligated to perform such review."", 'General Liability and Umbrella/Excess Liability policies must have ""per location or per project"" aggregates.', ""A copy of the insurance policies shall promptly be made available to EDGE upon EDGE' request."", ""EDGE's acceptance of or failure to object to the submitted documents does not constitute approval of coverage that is not in compliance with this Agreement or as acceptance or affirmation of the adequacy or applicability of such insurance."", 'EDGE and Mediacom, LLC shall be named as an additional insured.', 'Motor Vehicle Insurance covering bodily injury, death of a person or property damage arising out of the ownership, maintenance or use of any motor vehicles in an amount not less than $1,000,000 combined single limit for personal and bodily injury and death.', 'Commercial General Liability Insurance providing the limits of coverage written on an occurrence basis, in no event less than $1,000,000 combined single limit and $2,000,000 in the aggregate for personal and bodily injury and death arising therefrom and Broad Form property damage arising out of any one occurrence in connection with the Work or any part thereof, which insurance shall include coverage with the same minimum limits for contractual liability and completed operations liability.', 'All insurance must be written on an ""occurrence"" basis.', 'Subcontractor shall obtain at its own cost and expense and maintain the insurance in full force and effect during the term of the Agreement as required herein.']",Yes,[],No,[],No
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF",['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF,['STRATEGIC ALLIANCE AGREEMENT'],[],No,[],No,[],No,[],No,"[""So long as HOC is entitled to nominate and maintain a director pursuant to this Article 5, the Company shall indemnify each current and former HOC Director and shall maintain director's and officer's liability insurance for the benefit of each such director, with the same rights and benefits as are accorded the directors of the Company generally.""]",Yes,[],No,[],No
ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement.PDF,['Strategic Alliance Agreement'],[],No,['Both parties will not have liability for any damages other than direct damages.'],Yes,[],No,[],No,[],No,[],No,[],No
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement.PDF",['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.PDF,['Strategic Alliance Agreement'],[],No,"['IntriCon is not liable in any way to Dynamic Hearing for any indirect, consequential, third party, special or incidental  harm, liability, expense, cost, loss or damage, loss of profits, loss of data, exemplary damages or any other indirect  commercial or economic loss of any kind whatsoever incurred by Dynamic Hearing whether in negligence, tort, equity,  contract or otherwise, arising in connection with this Agreement;', 'Dynamic Hearing is not liable in any way to IntriCon for any indirect, consequential, third party, special or incidental  harm, liability, expense, cost, loss or damage, loss of profits, loss of data, exemplary damages or any other indirect  commercial or economic loss of any kind whatsoever incurred by IntriCon whether in negligence, tort, equity, contract  or otherwise, arising in connection with this Agreement;', ""Dynamic Hearing's aggregate liability to IntriCon for direct loss and damages and all other liability not described herein  arising in connection with this Agreement whether in negligence, tort, equity, contract or otherwise, is limited to  payment of damages recoverable at law or equity up to a maximum of (and, for the sake of clarity must not exceed) $5m;"", 'if any legislation implies in this Agreement any term or warranty which cannot be excluded or modified, the liability of  Dynamic Hearing for a breach of any such term or warranty is limited, at the option of Dynamic Hearing, to any one or  more of the following:<omitted>(i)    if the breach relates to goods:\n\n          (A)    the replacement of goods or the supply of equivalent goods; or\n\n          (B)    the repair of such goods; and\n\n          (ii)    if the breach relates to services: the supplying of the services again.']",Yes,[],No,[],No,[],No,[],No,[],No
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF",['STRATEGIC ALLIANCE AGREEMENT'],"['Accordingly, LBIO shall have available, in addition to any other right or remedy available to it, the right to seek an injunction from a court of competent jurisdiction restraining such a breach (or threatened breach) and to specific performance of any such Section.', ""NEITHER LBIO NOR MD ANDERSON, NOR ANY OF THEIR AFFILIATES, NOR ANY OF THEIR RESPECTIVE DIRECTORS, OFFICERS, MEMBERS OR EMPLOYEES, SHALL HAVE ANY LIABILITY OF ANY TYPE, FOR ANY SPECIAL, PUNITIVE, INCIDENTAL, INDIRECT OR CONSEQUENTIAL DAMAGES, INCLUDING THE LOSS OF OPPORTUNITY, LOSS OF USE, OR LOSS OF REVENUE OR PROFIT, IN CONNECTION WITH OR ARISING OUT OF THIS AGREEMENT OR ANY STUDY ORDER; PROVIDED, THAT, THE FOREGOING DISCLAIMER SHALL NOT APPLY WITH RESPECT TO (1) A PARTY'S INDEMNIFICATION OBLIGATIONS, (2) A PARTY'S BREACH OF ITS OBLIGATIONS UNDER THIS AGREEMENT WITH RESPECT TO CONFIDENTIALITY AND NON-USE OR INTELLECTUAL PROPERTY-RELATED MATTERS OR (3) A PARTY'S GROSS NEGLIGENCE OR WILLFUL MISCONDUCT.""]",Yes,"[""NEITHER LBIO NOR MD ANDERSON, NOR ANY OF THEIR AFFILIATES, NOR ANY OF THEIR RESPECTIVE DIRECTORS, OFFICERS, MEMBERS OR EMPLOYEES, SHALL HAVE ANY LIABILITY OF ANY TYPE, FOR ANY SPECIAL, PUNITIVE, INCIDENTAL, INDIRECT OR CONSEQUENTIAL DAMAGES, INCLUDING THE LOSS OF OPPORTUNITY, LOSS OF USE, OR LOSS OF REVENUE OR PROFIT, IN CONNECTION WITH OR ARISING OUT OF THIS AGREEMENT OR ANY STUDY ORDER; PROVIDED, THAT, THE FOREGOING DISCLAIMER SHALL NOT APPLY WITH RESPECT TO (1) A PARTY'S INDEMNIFICATION OBLIGATIONS, (2) A PARTY'S BREACH OF ITS OBLIGATIONS UNDER THIS AGREEMENT WITH RESPECT TO CONFIDENTIALITY AND NON-USE OR INTELLECTUAL PROPERTY-RELATED MATTERS OR (3) A PARTY'S GROSS NEGLIGENCE OR WILLFUL MISCONDUCT.""]",Yes,[],No,[],No,[],No,[],No,[],No
LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT.PDF,"[""STRATEGIC' ALLIANCE AGREEMENT (""]",[],No,[],No,[],No,[],No,[],No,[],No,[],No
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT.PDF,['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.PDF,['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,"['Notwithstanding the foregoing, UTK may assign this Agreement or any portion of its Compensation as outlined herein to its subsidiaries in its sole discretion.']",Yes
PHLVARIABLEINSURANCECOCT_08_17_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF,['STRATEGIC ALLIANCE AGREEMENT'],[],No,"['Each Investors Capital  Party acknowledges that none of the PHL Parties or their Affiliates shall be deemed to have guaranteed the  profitability of the GIE or any volume of sales, and no indemnification shall arise based on an assertion of such a  guarantee of profitability of the GIE or volume of sales.', 'IN NO EVENT SHALL ANY PARTY BE LIABLE FOR ANY SPECIAL, INDIRECT, INCIDENTAL,  PUNITIVE, CONSEQUENTIAL, OR ANY SIMILAR DAMAGES WHETHER OR NOT CAUSED BY OR RESULTING FROM THE  NEGLIGENCE OF SUCH PARTY EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, IN RELATION  TO, ARISING OUT OF OR IN CONNECTION WITH THIS EXHIBIT OR THE TRADEMARKS.', 'Each PHL Party acknowledges that neither ICAS nor any of its Affiliates shall be  deemed to have guaranteed the profitability of the GIE or any volume of sales, and no indemnification shall arise in  connection with profitability of the GIE or volume of sales.']",Yes,[],No,[],No,[],No,"[""Licensee hereby acknowledges the validity of Licensor's Trademarks and Licensor's exclusive right, title and  interest in and to the Trademarks.""]",Yes,[],No
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT.PDF",['STRATEGIC ALLIANCE AGREEMENT'],"[""The limitations in Section 23.1(b) will not apply to (a) losses arising out of or relating to a Party's breach of its obligations in Section 8 (excluding Section 8.4(g)) or Sections 1.1, 1.2, 1.4, 1.6 or 6.1 of the Restated Developer Agreement, (b) losses arising out of a Party's breach of Section 19 or the Business Associate Agreement; (c) a Party's indemnification obligations under Sections 22.1(b) through 22.1(e) or Sections 22.3(b) through 22.3(e); (d) losses arising from a Party's gross negligence or more culpable conduct, including any willful misconduct or intentionally wrongful acts; (e) losses for death, bodily injury, or damage to real or tangible personal property arising out of or relating to a Party's negligent or more culpable acts or omissions; or (f) a Party's obligation to pay attorneys' fees and other costs pursuant to Section 28.9(e)."", ""The limitations in Section 23.1(a) will not apply to (a) losses arising out of or relating to a Party's breach of its obligations in Section 8 (excluding Section 8.4(g)) or Sections 1.1, 1.2, 1.4, 1.6 or 6.1 of the Restated Developer Agreement, (b) losses arising out of a Party's breach of Section 19 or the Business Associate Agreement (c) losses arising from a Party's gross negligence or more culpable conduct, including any willful misconduct or intentionally wrongful acts; (d) losses for death, bodily injury, or damage to real or tangible personal property arising out of or relating to a Party's negligent or more culpable acts or omissions or (e) a Party's obligation to pay attorneys' fees and other costs pursuant to Section 28.9(e)"", ""In addition, the limitations in Section 23.1(b) will not apply (1) to Company's indemnification obligations under Section 22.1(a) or (2) Allscripts indemnification obligations under Section 22.3(a), unless the Company's or Allscripts' indemnification obligation under Section 22.1(a) or 22.3(a), as the case may be, relates to the losses and obligations described in subclauses (a) through (f) of the preceding sentence. [***]."", 'EXCEPT AS OTHERWISE SET FORTH IN SECTION 23.2, THE TOTAL CUMULATIVE LIABILITY OF EITHER PARTY FOR ANY AND ALL CLAIMS AND DAMAGES UNDER THIS AGREEMENT, WHETHER ARISING BY STATUTE, CONTRACT, TORT OR OTHERWISE, WILL NOT EXCEED THE FEES PAID BY ALLSCRIPTS TO COMPANY HEREUNDER DURING THE [***] PRECEDING THE EVENT GIVING RISE TO THE CLAIM.', 'EXCEPT AS OTHERWISE SET FORTH IN SECTION 23.2, IN NO EVENT WILL ANY PARTY BE LIABLE UNDER THIS AGREEMENT FOR ANY LOST PROFITS OR FOR ANY CONSEQUENTIAL, INCIDENTAL, INDIRECT, EXEMPLARY, SPECIAL, OR PUNITIVE DAMAGES, REGARDLESS OF WHETHER SUCH PARTY HAS BEEN NOTIFIED OF THE POTENTIAL FOR SUCH DAMAGES, OR WHETHER SUCH DAMAGES WERE REASONABLY FORESEEABLE, OR WHETHER ANY CLAIM FOR RECOVERY IS BASED ON THEORIES OF CONTRACT, TORT, OR OTHERWISE.']",Yes,"['EXCEPT AS OTHERWISE SET FORTH IN SECTION 23.2, IN NO EVENT WILL ANY PARTY BE LIABLE UNDER THIS AGREEMENT FOR ANY LOST PROFITS OR FOR ANY CONSEQUENTIAL, INCIDENTAL, INDIRECT, EXEMPLARY, SPECIAL, OR PUNITIVE DAMAGES, REGARDLESS OF WHETHER SUCH PARTY HAS BEEN NOTIFIED OF THE POTENTIAL FOR SUCH DAMAGES, OR WHETHER SUCH DAMAGES WERE REASONABLY FORESEEABLE, OR WHETHER ANY CLAIM FOR RECOVERY IS BASED ON THEORIES OF CONTRACT, TORT, OR OTHERWISE.', ""The Company's obligations to provide defense and indemnity pursuant to this Section 22 will be reduced to the extent that the Claim or Loss was caused by (a) the Indemnified Person's creation of modifications to the Installed Software, Subscription Software Services, Developer App, Merchant Processing Services, Documentation, Company Marketing Materials, or Services, unless such modifications (i) were authorized in writing by the Company or were otherwise directed in writing or caused by the Indemnifying Party or (ii) were contemplated and permitted as a feature of any of the Installed Software or Subscription Software Services or Merchant Processing Services, and in each case solely to the extent such Claim would not have occurred but for such modifications; (b) the Indemnified Person's failure to use updates or corrections made available by the Indemnifying Party, but solely to the extent such Claim would not have occurred if such updates or corrections had been used; or (c) the operation of Allscripts' products or services or the combination or use of the Installed Software, Developer App, Subscription Software Services or Merchant Processing Services or Services in conjunction with Allscripts' products or services (unless directed in writing or caused by the Company), if such Claim would not have arisen but for such combination or use, and except to the extent arising from any combination performed by or on behalf of the Company in connection with the Services."", 'EXCEPT AS OTHERWISE SET FORTH IN SECTION 23.2, THE TOTAL CUMULATIVE LIABILITY OF EITHER PARTY FOR ANY AND ALL CLAIMS AND DAMAGES UNDER THIS AGREEMENT, WHETHER ARISING BY STATUTE, CONTRACT, TORT OR OTHERWISE, WILL NOT EXCEED THE FEES PAID BY ALLSCRIPTS TO COMPANY HEREUNDER DURING THE [***] PRECEDING THE EVENT GIVING RISE TO THE CLAIM.']",Yes,[],No,[],No,"['Allscripts will be named as an additional insured under the foregoing policies, each of which will be primary and non-contributory.', 'At the Company\'s expense, the Company will maintain policies of insurance with insurance companies having a financial strength rating no lower than ""A"" and a size category not lower than ""XII"" as rated by the A.M. Best Company, and in amounts which are reasonable and prudent in light of the Company\'s business, potential liabilities to Allscripts hereunder, and other relevant factors, including the following: (i) Commercial General Liability insurance [***] (ii) Errors and Omissions insurance [***] and (iii) Workers\' Compensation insurance with applicable statutory limits.']",Yes,[],No,[],No
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF,['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No
KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF',['STRATEGIC ALLIANCE AGREEMENT'],[],No,"[""Kallo's cumulative liability under this agreement, including any cause of action in contract, tort or strict liability, shall  be limited to the license fees paid by agent during the 12 months prior to such event."", 'In no event shall Kallo be liable for indirect, consequential, or incidental damages (including damages for loss of  business profits, business interruption, loss of business information, and the like) arising out of the relationship  between Kallo and Agent even if it has been advised of the possibility of such damages.']",Yes,[],No,['Supply of drugs/medications and spare parts during and after the warranty period.'],Yes,"['Kallo shall maintain comprehensive general liability and errors and omissions insurance for the  Kallo Mobile care suite of products.', ""Agent or its successors shall maintain during the term of this Agreement and while it is still responsible  for its Book of Business:  i.All required workers' compensation or similar insurance;  ii.Comprehensive general liability insurance.""]",Yes,"[""Agent agrees that it shall take no action inconsistent with Kallo ownership of the  Trademarks and agrees not to challenge Kallo's rights in or attempt to register any of the Trademarks, or any other  name or mark owned or used by Kallo or any mark confusingly similar thereto.""]",Yes,[],No
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF","['STRATEGIC ALLIANCE AGREEMENT, d']",[],No,[],No,[],No,[],No,"[""On or prior to the date of this Agreement or TF's election to the Board of Directors at the Annual Meeting, as applicable, the Company shall have (x) nominated TF for election to the Board of Directors at the Annual Meeting, (y) entered into an Indemnification Agreement with TF as the Director Designee and (z) taken all necessary action for TF to be covered by the Company's existing directors' liability insurance policy.""]",Yes,[],No,[],No
"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF",['STRATEGIC ALLIANCE AGREEMENT is'],[],No,"[""The Indemnifying Party's liability for all claims made under this Agreement shall be subject to the following limitations: (i) the Indemnifying Party shall [â¦***â¦] for such claims until the [â¦***â¦] of the [â¦***â¦] shall [â¦***â¦] of the [â¦***â¦] by the [â¦***â¦] of all of the [â¦***â¦] and [â¦***â¦] of [â¦***â¦], in which case the Indemnifying Party shall be liable only for the [â¦***â¦] of the [â¦ ***â¦] of the [â¦***â¦] by the [â¦***â¦] of all of the [â¦***â¦] and [â¦***â¦] of [â¦***â¦], and (ii) the Indemnifying Party's [â¦***â¦] for [â¦ ***â¦] shall not [â¦***â¦] of the [â¦***â¦] by the [â¦***â¦] of all of the [â¦***â¦] and [â¦***â¦] of [â¦***â¦].""]",Yes,[],No,[],No,[],No,[],No,"['It is expressly agreed by the Parties that the Lenders shall be third party beneficiaries of Section 4.09, Section 6.03, Section 8.02(b), Section 8.04, Section 8.05 and this Section 8.13']",Yes
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement.PDF",['Strategic Alliance Agreement'],[],No,[],No,[],No,[],No,[],No,"['TKCI affirms that it shall not have any claim towards SIC if the management decides not to sign the agreement in the investigation stage, and before any agreements are signed, for any reasons whatsoever.']",Yes,[],No
